index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 7228, 5944, 7734, 7015, 7015, 73, 8099, 5526
2, 13782, 10941, 14906, 13554, 13554, 79, 15673, 12517
3, 23811, 18927, 24290, 22870, 22870, 89, 24683, 21315
4, 30438, 24196, 30898, 29415, 29415, 90, 31814, 28281
5, 37707, 29831, 38187, 36628, 36628, 91, 39467, 35811
6, 45717, 36139, 46179, 44542, 44542, 91, 47450, 43693
7, 51549, 40584, 52016, 50291, 50291, 91, 54365, 50511
8, 59456, 46753, 59932, 58035, 58035, 91, 62388, 58452
9, 67333, 52902, 67805, 65844, 65844, 91, 70237, 66224
10, 74929, 58903, 75385, 73364, 73364, 92, 78264, 74176
11, 80553, 63127, 81599, 79121, 79121, 97, 85297, 80893
12, 87702, 68670, 88174, 85615, 85615, 101, 92086, 87615
13, 95365, 74616, 95858, 93228, 93228, 109, 99707, 95101
14, 103056, 80668, 103535, 100838, 100838, 111, 107720, 103054
15, 110135, 86234, 110629, 107843, 107843, 111, 115154, 110411
16, 115080, 90071, 115769, 112948, 112948, 111, 121855, 117049
17, 122850, 96041, 123368, 120477, 120477, 112, 129615, 124747
18, 130732, 102310, 131207, 128218, 128218, 113, 137550, 132625
19, 138234, 108207, 138686, 135617, 135617, 114, 145336, 140357
20, 145698, 114126, 146197, 143079, 143079, 114, 153138, 148089
21, 152903, 119719, 153396, 150232, 150232, 115, 160766, 155672
22, 159726, 125147, 160216, 156982, 156982, 115, 168100, 162962
23, 167267, 131079, 167722, 164465, 164465, 116, 175798, 170617
24, 174517, 136763, 175008, 171695, 171695, 116, 183116, 177892
25, 181394, 142121, 181902, 178474, 178474, 117, 190611, 185331
26, 189102, 148088, 189584, 186137, 186137, 117, 198452, 193122
27, 200460, 157294, 200869, 197415, 197415, 132, 207860, 202490
28, 207279, 162790, 207753, 204273, 204273, 132, 215142, 209746
29, 215088, 168966, 215499, 211902, 211902, 132, 223019, 217588
30, 300701, 172948, 302224, 216358, 216358, 147, 263325, 222875
31, 306866, 178056, 307275, 221268, 221268, 186, 272253, 231082
