index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 54188, 5129, 55854, 3325, 3325, 78, 123515, 33881
2, 109806, 10633, 111327, 4570, 4570, 117, 248191, 70576
3, 165320, 16289, 166898, 5889, 5889, 155, 370612, 105919
4, 221028, 21824, 222782, 7251, 7251, 192, 494722, 142397
5, 272338, 27009, 274376, 8405, 8405, 226, 618003, 180485
6, 324116, 32583, 325661, 9907, 9907, 261, 741341, 219601
7, 379744, 38378, 381589, 11388, 11388, 299, 866725, 256322
8, 431344, 44057, 433357, 12866, 12866, 340, 985467, 292445
9, 483896, 49708, 485335, 14397, 14397, 381, 1104470, 329167
10, 538474, 55087, 539976, 15719, 15719, 419, 1227048, 364952
11, 594077, 60556, 595647, 17112, 17112, 457, 1351952, 401132
12, 649705, 66290, 651311, 18518, 18518, 498, 1475105, 437198
13, 705095, 71776, 707060, 19947, 19947, 543, 1599999, 474075
14, 754108, 77110, 755710, 21223, 21223, 579, 1711746, 508413
15, 808071, 82469, 809479, 22434, 22434, 615, 1832604, 543891
16, 862778, 87827, 864384, 23832, 23832, 650, 1957106, 580339
17, 917936, 93424, 919590, 25240, 25240, 689, 2081186, 616392
18, 973386, 98731, 975277, 26533, 26533, 729, 2205554, 652565
19, 1024443, 104049, 1026477, 27749, 27749, 766, 2323743, 688048
20, 1076135, 109740, 1077514, 29302, 29302, 807, 2442348, 725024
21, 1132076, 115326, 1133614, 30804, 30804, 853, 2566592, 761227
22, 1186618, 120645, 1188424, 32057, 32057, 895, 2690062, 797103
23, 1241375, 125965, 1243420, 33494, 33494, 931, 2812373, 832669
24, 1289699, 131488, 1291035, 34846, 34846, 971, 2924124, 868220
25, 1345147, 136825, 1346725, 36158, 36158, 1016, 3047583, 904496
26, 1392821, 142355, 1394232, 37811, 37811, 1054, 3168358, 942003
27, 1431938, 147449, 1433180, 39110, 39110, 1091, 3270743, 978414
28, 1475114, 153122, 1477129, 40723, 40723, 1132, 3380345, 1015380
29, 1518071, 158804, 1519890, 42558, 42558, 1173, 3487503, 1052581
30, 1557807, 164345, 1559280, 44052, 44052, 1205, 3591408, 1090642
31, 1597691, 170249, 1598975, 46018, 46018, 1250, 3694898, 1129171
32, 1638101, 176241, 1639472, 48075, 48075, 1290, 3802399, 1168603
33, 1683299, 181729, 1685124, 49439, 49439, 1326, 3915803, 1206626
34, 1723128, 187572, 1724759, 50975, 50975, 1362, 4017018, 1243331
35, 1762214, 193146, 1763557, 52458, 52458, 1400, 4117921, 1280286
36, 1802087, 198799, 1803267, 54092, 54092, 1443, 4220598, 1317746
37, 1845577, 204563, 1847601, 55738, 55738, 1479, 4331816, 1356005
38, 1888311, 210200, 1890164, 57435, 57435, 1522, 4440044, 1394041
39, 1927573, 215388, 1929216, 58579, 58579, 1554, 4541183, 1429789
40, 1967567, 220744, 1968880, 60104, 60104, 1589, 4646027, 1466592
41, 2006508, 226218, 2007713, 61592, 61592, 1621, 4748930, 1503735
42, 2046783, 232072, 2047961, 63630, 63630, 1665, 4852990, 1542306
43, 2088214, 238050, 2090120, 65634, 65634, 1708, 4959324, 1580314
44, 2130273, 243895, 2132317, 67496, 67496, 1748, 5065489, 1617791
45, 2170752, 249716, 2172767, 69250, 69250, 1787, 5169789, 1655591
46, 2208888, 255448, 2210912, 71028, 71028, 1825, 5270797, 1693457
47, 2250116, 260632, 2252127, 72576, 72576, 1865, 5375727, 1729930
48, 2289729, 266116, 2291775, 74336, 74336, 1904, 5479838, 1767032
49, 2329420, 271631, 2331242, 75700, 75700, 1941, 5583596, 1804956
50, 2368491, 276987, 2370154, 76993, 76993, 1977, 5683597, 1840335
51, 2407921, 282654, 2409378, 78504, 78504, 2013, 5786070, 1878191
52, 2447343, 288372, 2448748, 80003, 80003, 2052, 5887992, 1914817
53, 2486658, 294019, 2487837, 81446, 81446, 2094, 5990842, 1951914
54, 2527632, 299805, 2529642, 83228, 83228, 2135, 6097450, 1989135
55, 2572188, 305414, 2574066, 84769, 84769, 2170, 6209011, 2026908
56, 2612189, 310913, 2613863, 86362, 86362, 2209, 6309796, 2063471
57, 2652493, 317158, 2654006, 88328, 88328, 2251, 6416918, 2104668
58, 2670765, 319939, 2672803, 89053, 119, 3, 6469142, 2124625
59, 2678743, 320637, 2680155, 89272, 338, 8, 6482958, 2129492
60, 2687273, 321019, 2689321, 89355, 421, 9, 6498432, 2133013
61, 2690258, 321988, 2692268, 89600, 666, 16, 6510921, 2139946
62, 2698830, 322699, 2700263, 89729, 795, 20, 6525007, 2144308
63, 2706668, 323192, 2708713, 89879, 945, 21, 6540361, 2148630
64, 2709508, 324139, 2710771, 90189, 1255, 29, 6552045, 2155914
65, 2718947, 324732, 2720533, 90303, 1369, 33, 6567860, 2159985
66, 2725880, 325281, 2727922, 90459, 1525, 36, 6582530, 2164665
67, 2730373, 326544, 2731212, 90968, 2034, 41, 6594694, 2171553
68, 2739607, 327104, 2741202, 91159, 2225, 43, 6611852, 2176649
69, 2746452, 327700, 2748500, 91290, 2356, 47, 6626410, 2181196
70, 2750378, 328702, 2751577, 91599, 2665, 52, 6637529, 2187651
71, 2759749, 329333, 2761306, 91746, 2812, 55, 6653368, 2191746
72, 2767370, 330046, 2769405, 91923, 2989, 60, 6667052, 2195550
73, 2770473, 331064, 2771564, 92184, 3250, 64, 6677632, 2202022
74, 2780108, 331652, 2781657, 92395, 3461, 69, 6695275, 2207317
75, 2787453, 332240, 2789485, 92577, 3643, 72, 6708739, 2210900
76, 2791797, 333584, 2792571, 93188, 4254, 78, 6721661, 2218974
77, 2801126, 334262, 2802609, 93516, 4582, 86, 6738691, 2223995
78, 2808320, 334779, 2810365, 93647, 4713, 88, 6752096, 2227456
79, 2811676, 335762, 2812804, 93925, 4991, 95, 6763496, 2234203
80, 2821078, 336323, 2822743, 94011, 5077, 97, 6779231, 2238017
81, 2828212, 337049, 2830248, 94197, 5263, 102, 6792986, 2242136
82, 2832011, 338085, 2833078, 94481, 5547, 107, 6804059, 2248958
83, 2841288, 338569, 2842975, 94626, 5692, 114, 6820309, 2252818
84, 2848360, 339234, 2850389, 94758, 5824, 117, 6833798, 2256913
85, 2852101, 340253, 2853170, 94964, 6030, 121, 6844377, 2263354
86, 2861471, 340779, 2863185, 95160, 6226, 126, 6860631, 2266999
87, 2867748, 341806, 2869735, 95487, 6553, 130, 6873503, 2271812
88, 2872315, 342680, 2873520, 95685, 6751, 133, 6884809, 2277982
89, 2881753, 343174, 2883522, 95839, 6905, 138, 6900894, 2281693
90, 2887530, 344071, 2889578, 96211, 7277, 140, 6913385, 2286760
91, 2892705, 344938, 2893921, 96409, 7475, 144, 6925176, 2292711
92, 2902058, 345326, 2903885, 96541, 7607, 149, 6941154, 2296102
93, 2906202, 346114, 2908250, 96794, 7860, 152, 6953599, 2301875
94, 2913164, 347035, 2914342, 97171, 8237, 156, 6967114, 2307905
95, 2922420, 347481, 2924332, 97306, 8372, 161, 6984233, 2311969
96, 2926137, 348412, 2928146, 97525, 8591, 166, 6994893, 2317251
97, 2933189, 349155, 2934584, 97744, 8810, 169, 7008342, 2322748
98, 2942482, 349547, 2944438, 97802, 8868, 173, 7023463, 2325457
99, 2945905, 350414, 2947948, 98041, 9107, 177, 7034709, 2331448
100, 2953218, 351104, 2954645, 98242, 9308, 182, 7048006, 2336550
101, 2962477, 351436, 2964512, 98321, 9387, 184, 7063260, 2339384
102, 2966014, 352455, 2968030, 98625, 9691, 191, 7074947, 2345781
103, 2973351, 353156, 2974760, 98799, 9865, 194, 7088363, 2350809
104, 2982620, 353592, 2984605, 98891, 9957, 196, 7103375, 2353800
105, 2986063, 354489, 2988083, 99111, 10177, 202, 7114648, 2359625
106, 2993308, 355120, 2994767, 99234, 10300, 205, 7127886, 2364557
107, 3002694, 355615, 3004662, 99349, 10415, 208, 7143787, 2368171
