index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
300, 59951, 27347, 61997, 23490, 21147, 450, 1276419, 1138909
301, 60251, 27347, 62297, 23490, 21147, 450, 1278114, 1139276
302, 60392, 27347, 62438, 23490, 21147, 450, 1279162, 1139588
303, 60631, 27347, 62677, 23490, 21147, 450, 1280425, 1139912
304, 60768, 27347, 62814, 23490, 21147, 450, 1281339, 1140203
305, 61008, 27347, 63056, 23490, 21147, 450, 1282492, 1140403
306, 61133, 27347, 63181, 23490, 21147, 450, 1283211, 1140550
307, 61422, 27353, 63464, 23490, 21147, 450, 1286528, 1141363
308, 61640, 27375, 63660, 23490, 21147, 450, 1297191, 1149255
309, 61742, 27399, 63738, 23490, 21147, 450, 1308914, 1159666
310, 61964, 27450, 63909, 23490, 21147, 450, 1318105, 1166906
311, 62143, 27473, 64065, 23490, 21147, 450, 1324777, 1171767
312, 62466, 27482, 64379, 23490, 21147, 450, 1336221, 1180754
313, 63014, 27616, 64795, 23490, 21147, 450, 1354253, 1196446
314, 63614, 27848, 65164, 23500, 21157, 450, 1367791, 1207799
315, 64020, 27952, 65474, 23500, 21157, 450, 1382364, 1221480
316, 64381, 28034, 65835, 23500, 21157, 450, 1401251, 1238684
317, 64700, 28094, 66141, 23500, 21157, 450, 1412057, 1247780
318, 65000, 28157, 66387, 23500, 21157, 450, 1430884, 1264611
319, 65190, 28240, 66571, 23510, 21167, 452, 1441799, 1274873
320, 65530, 28410, 66871, 23609, 21266, 455, 1455400, 1286647
321, 65901, 28535, 67334, 23617, 21274, 457, 1468498, 1297833
322, 66592, 28611, 68195, 23625, 21282, 459, 1481538, 1308086
323, 67942, 28635, 69960, 23625, 21282, 459, 1487928, 1310004
324, 68157, 28672, 70145, 23625, 21282, 459, 1496406, 1316350
325, 68461, 28692, 70436, 23625, 21282, 459, 1506757, 1323541
326, 68740, 28779, 70628, 23625, 21282, 459, 1522177, 1337647
327, 69502, 29081, 71099, 23680, 21337, 464, 1533269, 1347382
328, 70686, 29515, 71849, 23686, 21343, 465, 1553874, 1365985
329, 71961, 30155, 72833, 24005, 21662, 484, 1576010, 1387126
330, 72130, 30238, 73061, 24087, 21744, 492, 1590982, 1399147
331, 72185, 30275, 73136, 24162, 21819, 498, 1615989, 1423798
332, 72258, 30293, 73259, 24185, 21842, 500, 1624113, 1430674
333, 72677, 30472, 73871, 24277, 21934, 505, 1635244, 1437319
334, 73621, 31074, 74707, 25024, 22681, 555, 1650413, 1450767
335, 74650, 31565, 75584, 25479, 23136, 565, 1663111, 1460566
336, 74775, 31610, 75842, 25499, 23156, 568, 1674738, 1470296
337, 74939, 31698, 76122, 25608, 23265, 577, 1689541, 1483390
338, 75254, 31855, 76617, 25922, 23579, 598, 1701922, 1493750
339, 75554, 32001, 77015, 26105, 23762, 614, 1709776, 1499563
340, 76088, 32149, 77533, 26170, 23827, 620, 1721620, 1509327
341, 76533, 32256, 77994, 26170, 23827, 620, 1731849, 1517428
342, 77044, 32403, 78503, 26180, 23837, 621, 1740263, 1523660
343, 77633, 32638, 79088, 26292, 23949, 626, 1748766, 1529868
344, 77921, 32660, 79445, 26292, 23949, 626, 1757970, 1535941
345, 78189, 32660, 79801, 26292, 23949, 626, 1760109, 1536487
346, 78514, 32660, 80256, 26292, 23949, 626, 1762576, 1537103
347, 78793, 32660, 80692, 26292, 23949, 626, 1764597, 1537624
348, 79028, 32660, 81060, 26292, 23949, 626, 1766885, 1538229
349, 79410, 32660, 81458, 26292, 23949, 626, 1768952, 1538682
350, 79928, 32660, 81976, 26292, 23949, 626, 1771475, 1539223
351, 80402, 32660, 82450, 26292, 23949, 626, 1773833, 1539735
352, 80853, 32660, 82901, 26292, 23949, 626, 1776049, 1540165
353, 81318, 32660, 83366, 26292, 23949, 626, 1778767, 1540849
354, 81791, 32661, 83838, 26292, 23949, 626, 1781316, 1541371
355, 82235, 32664, 84280, 26292, 23949, 626, 1783634, 1541869
356, 82661, 32664, 84706, 26292, 23949, 626, 1787311, 1542625
357, 82860, 32694, 84875, 26292, 23949, 626, 1799338, 1551666
358, 82926, 32708, 84929, 26292, 23949, 626, 1811317, 1562301
359, 83065, 32727, 85049, 26292, 23949, 626, 1821428, 1570276
360, 83467, 32727, 85452, 26292, 23949, 626, 1831664, 1577454
361, 83925, 32832, 85805, 26292, 23949, 626, 1848482, 1591588
362, 84445, 33016, 86143, 26298, 23955, 627, 1863880, 1604928
363, 84738, 33075, 86378, 26298, 23955, 627, 1879160, 1619134
364, 85132, 33142, 86708, 26298, 23955, 627, 1896936, 1635228
365, 85336, 33175, 86916, 26298, 23955, 627, 1910417, 1646633
366, 85673, 33268, 87182, 26305, 23962, 627, 1928128, 1662481
367, 85788, 33293, 87272, 26306, 23963, 627, 1939950, 1673847
368, 86192, 33390, 87647, 26306, 23963, 627, 1954718, 1686289
369, 86663, 33569, 88191, 26335, 23992, 629, 1967962, 1697623
370, 87575, 33599, 89373, 26339, 23996, 630, 1978752, 1704929
371, 88783, 33616, 90805, 26339, 23996, 630, 1986721, 1708125
372, 89259, 33764, 91147, 26339, 23996, 630, 2001406, 1720412
373, 90239, 34162, 91740, 26361, 24018, 634, 2015668, 1732744
374, 91517, 34621, 92559, 26361, 24018, 634, 2037633, 1753392
