index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 105820, 58960, 106416, 64058, 64058, 840, 57909, 30914
2, 206812, 118735, 208309, 130180, 130180, 1583, 113185, 62503
3, 312904, 181018, 313501, 198658, 198658, 2334, 169920, 95470
4, 419779, 243760, 420940, 267544, 267544, 3113, 228549, 129134
5, 523071, 303711, 523637, 332206, 332206, 3844, 284715, 161673
6, 629130, 366163, 630122, 400520, 400520, 4604, 342385, 194733
7, 736586, 427814, 737040, 467934, 467934, 5359, 400504, 227854
8, 837458, 485411, 839081, 531968, 531968, 6095, 456021, 258579
9, 942148, 547493, 942927, 600683, 600683, 6870, 512306, 291545
10, 1050512, 610475, 1051257, 668844, 668844, 7637, 571176, 325138
11, 1151068, 668109, 1152100, 731592, 731592, 8367, 626701, 356264
12, 1253791, 728329, 1254924, 797120, 797120, 9109, 682760, 388378
13, 1360685, 791022, 1361237, 865459, 865459, 9876, 740550, 421672
14, 1462070, 849613, 1463232, 929397, 929397, 10637, 795866, 452790
15, 1562755, 910308, 1563933, 997456, 997456, 11367, 850419, 484550
16, 1668052, 970476, 1668734, 1062095, 1062095, 12116, 906975, 516417
17, 1771519, 1030603, 1772274, 1127105, 1127105, 12814, 963384, 548425
18, 1872999, 1089032, 1873542, 1190026, 1190026, 13497, 1018119, 579389
19, 1976614, 1149199, 1977691, 1255398, 1255398, 14207, 1073660, 610751
20, 2063979, 1200298, 2064552, 1310838, 1310838, 14799, 1118738, 636456
21, 2101602, 1230679, 2102190, 1342759, 1342759, 14888, 1133258, 647173
22, 2169409, 1264344, 2171101, 1370167, 1370167, 15127, 1165756, 663702
23, 2250075, 1283192, 2251125, 1376837, 1376837, 15225, 1198923, 670537
24, 2284121, 1308784, 2284525, 1409065, 1409065, 15391, 1217355, 683579
25, 2320861, 1338162, 2321330, 1444966, 1444966, 15572, 1234761, 694708
26, 2386817, 1379080, 2387625, 1492317, 1492317, 15790, 1274917, 722727
27, 2452042, 1435013, 2452205, 1553800, 1553800, 15866, 1310823, 755695
28, 2545319, 1461499, 2547187, 1576291, 1576291, 15908, 1352577, 772589
29, 2633902, 1486741, 2634161, 1599938, 1599938, 16105, 1388776, 783043
30, 2707442, 1550871, 2707736, 1672445, 1672445, 16472, 1420551, 810892
31, 2779761, 1613973, 2780062, 1743390, 1743390, 16842, 1451753, 838217
32, 2851589, 1637475, 2853637, 1770124, 1770124, 16993, 1489583, 848155
33, 2851678, 1637475, 2853726, 1770124, 1770124, 16993, 1489712, 848155
34, 2853450, 1638051, 2854922, 1770302, 1770302, 16999, 1490458, 848413
35, 2882215, 1659913, 2883037, 1795951, 1795951, 17166, 1505660, 857681
36, 2921131, 1678532, 2923131, 1816060, 1816060, 17421, 1526754, 868936
37, 2961201, 1679683, 2963187, 1816060, 1816060, 17421, 1544230, 870347
38, 2961226, 1679683, 2963212, 1816060, 1816060, 17421, 1544282, 870347
39, 2961234, 1679683, 2963220, 1816060, 1816060, 17421, 1544286, 870347
40, 2962402, 1680093, 2963993, 1816097, 1816097, 17423, 1545262, 871088
41, 2971148, 1680416, 2973196, 1816112, 1816112, 17426, 1552355, 871436
42, 2977151, 1680426, 2979199, 1816112, 1816112, 17426, 1557741, 871490
43, 2979638, 1680650, 2981487, 1816112, 1816112, 17426, 1559339, 871633
44, 2994634, 1687582, 2996285, 1822813, 1822813, 17540, 1567830, 875644
45, 2994805, 1687654, 2996390, 1822834, 1822834, 17543, 1567963, 875710
46, 3040112, 1710452, 3041136, 1848857, 1848857, 17749, 1590357, 887712
47, 3085221, 1734069, 3086290, 1876994, 1876994, 17931, 1612714, 900052
