index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 81, 81, 453, 453, 453, 20, 1469, 194
2, 151, 151, 624, 624, 624, 22, 2430, 526
3, 162, 162, 689, 689, 689, 25, 2745, 657
4, 183, 183, 721, 721, 721, 25, 2956, 736
5, 183, 183, 721, 721, 721, 25, 2962, 742
6, 183, 183, 721, 721, 721, 25, 2967, 747
7, 191, 191, 769, 769, 769, 25, 3202, 846
8, 191, 191, 797, 797, 797, 26, 3447, 938
9, 215, 215, 965, 965, 965, 32, 4127, 1233
10, 215, 215, 971, 971, 971, 32, 4139, 1245
11, 220, 220, 977, 977, 977, 32, 4154, 1260
12, 221, 221, 1049, 1049, 1049, 35, 4635, 1448
13, 229, 229, 1097, 1097, 1097, 36, 5125, 1661
14, 283, 283, 1202, 1202, 1202, 42, 5669, 1909
15, 288, 288, 1238, 1238, 1238, 42, 5950, 2034
16, 291, 291, 1247, 1247, 1247, 42, 5963, 2047
17, 292, 292, 1256, 1256, 1256, 42, 5973, 2057
18, 292, 292, 1256, 1256, 1256, 42, 5979, 2063
19, 294, 294, 1262, 1262, 1262, 42, 5988, 2072
20, 299, 299, 1283, 1283, 1283, 43, 6118, 2131
21, 302, 302, 1315, 1315, 1315, 44, 6375, 2238
22, 305, 305, 1386, 1386, 1386, 47, 6872, 2490
23, 305, 305, 1418, 1418, 1418, 48, 7041, 2593
24, 335, 335, 1528, 1528, 1528, 52, 7660, 2842
25, 336, 336, 1549, 1549, 1549, 53, 7901, 2934
26, 336, 336, 1549, 1549, 1549, 53, 7910, 2942
27, 336, 336, 1549, 1549, 1549, 53, 7914, 2946
28, 352, 352, 1601, 1601, 1601, 54, 8309, 3115
29, 352, 352, 1604, 1604, 1604, 54, 8321, 3127
30, 356, 356, 1613, 1613, 1613, 54, 8337, 3143
31, 356, 356, 1642, 1642, 1642, 55, 8558, 3228
32, 365, 365, 1749, 1749, 1749, 56, 9301, 3531
33, 365, 365, 1800, 1800, 1800, 57, 9714, 3725
34, 365, 365, 1812, 1812, 1812, 58, 9988, 3871
35, 370, 370, 1964, 1964, 1964, 68, 11031, 4321
36, 373, 373, 1995, 1995, 1995, 69, 11257, 4407
37, 373, 373, 2019, 2019, 2019, 70, 11414, 4482
38, 761, 634, 2340, 2340, 2340, 75, 13509, 5181
39, 887, 708, 2457, 2457, 2457, 76, 13809, 5342
40, 893, 714, 2457, 2457, 2457, 76, 13825, 5357
41, 920, 720, 2478, 2470, 2470, 76, 14029, 5494
42, 990, 723, 2574, 2470, 2470, 76, 14755, 5797
43, 996, 724, 2592, 2470, 2470, 76, 14918, 5875
