index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
695, 1115183, 878095, 1115479, 1026995, 742778, 137, 1617051, 1566860
696, 1116217, 879014, 1116541, 1028057, 743840, 137, 1618712, 1568519
697, 1117425, 880073, 1117718, 1029234, 745017, 137, 1620423, 1570224
698, 1118620, 881130, 1118887, 1030403, 746186, 137, 1622078, 1571875
699, 1120865, 883134, 1121156, 1032672, 748455, 137, 1624823, 1574613
700, 1121978, 884116, 1122274, 1033790, 749573, 137, 1626644, 1576430
701, 1123063, 885077, 1123381, 1034897, 750680, 137, 1628273, 1578055
702, 1124221, 886101, 1124510, 1036026, 751809, 137, 1629945, 1579722
703, 1125341, 887093, 1125644, 1037160, 752943, 137, 1631617, 1581388
704, 1126481, 888109, 1126765, 1038281, 754064, 137, 1633287, 1583056
705, 1128796, 890169, 1129088, 1040604, 756387, 137, 1636050, 1585813
706, 1129961, 891191, 1130285, 1041801, 757584, 137, 1637876, 1587631
707, 1132157, 893143, 1132452, 1043968, 759751, 137, 1640480, 1590230
708, 1133184, 894049, 1133511, 1045027, 760810, 137, 1642286, 1592029
709, 1134316, 895053, 1134609, 1046125, 761908, 137, 1643991, 1593725
710, 1135412, 896023, 1135712, 1047228, 763011, 137, 1645705, 1595432
711, 1137741, 898068, 1138033, 1049549, 765332, 137, 1648373, 1598097
712, 1138775, 898984, 1139101, 1050617, 766400, 137, 1650098, 1599814
713, 1139948, 900009, 1140239, 1051755, 767538, 137, 1651773, 1601482
714, 1141047, 900974, 1141343, 1052859, 768642, 137, 1653545, 1603248
715, 1142131, 901921, 1142427, 1053943, 769726, 137, 1655169, 1604867
716, 1143243, 902902, 1143549, 1055065, 770848, 137, 1656794, 1606485
717, 1145486, 904862, 1145770, 1057286, 773069, 137, 1659452, 1609140
718, 1146661, 905900, 1146931, 1058447, 774230, 137, 1661337, 1611023
719, 1147685, 906817, 1148027, 1059543, 775326, 137, 1663008, 1612688
720, 1148807, 907808, 1149125, 1060641, 776424, 137, 1664689, 1614356
721, 1150600, 909406, 1150909, 1062425, 778208, 142, 1666649, 1616306
722, 1151753, 910378, 1152058, 1063574, 779357, 142, 1668360, 1618009
723, 1154078, 912425, 1154366, 1065882, 781665, 142, 1671130, 1620774
724, 1155220, 913437, 1155516, 1067032, 782815, 142, 1672869, 1622506
725, 1156392, 914473, 1156702, 1068218, 784001, 142, 1674601, 1624236
726, 1157590, 915532, 1157873, 1069389, 785172, 142, 1676302, 1625931
727, 1158782, 916594, 1159057, 1070573, 786356, 142, 1678011, 1627635
728, 1161203, 918745, 1161501, 1073017, 788800, 142, 1680772, 1630389
729, 1162326, 919738, 1162629, 1074145, 789928, 142, 1682583, 1632191
730, 1163442, 920706, 1163752, 1075268, 791051, 142, 1684301, 1633908
731, 1164586, 921701, 1164886, 1076402, 792185, 142, 1685967, 1635564
732, 1165747, 922741, 1166029, 1077545, 793328, 142, 1687614, 1637202
733, 1168693, 925350, 1168987, 1080503, 796286, 148, 1690644, 1640221
734, 1170397, 926885, 1170727, 1082243, 798026, 148, 1692614, 1642188
735, 1171649, 927959, 1171944, 1083460, 799243, 148, 1694355, 1643923
736, 1172905, 929071, 1173156, 1084672, 800455, 148, 1696054, 1645618
737, 1175224, 931129, 1175515, 1087031, 802814, 148, 1698775, 1648337
738, 1176434, 932204, 1176704, 1088220, 804003, 149, 1700586, 1650144
739, 1177561, 933207, 1177866, 1089382, 805165, 149, 1702267, 1651816
740, 1178690, 934199, 1179008, 1090524, 806307, 149, 1703990, 1653537
741, 1179898, 935271, 1180194, 1091710, 807493, 149, 1705640, 1655179
742, 1181069, 936310, 1181354, 1092870, 808653, 149, 1707348, 1656880
743, 1183437, 938425, 1183722, 1095238, 811021, 149, 1710100, 1659620
744, 1184624, 939481, 1184908, 1096424, 812207, 149, 1711924, 1661439
745, 1185822, 940540, 1186104, 1097620, 813403, 149, 1713626, 1663135
746, 1186975, 941562, 1187301, 1098817, 814600, 149, 1715339, 1664839
747, 1188167, 942602, 1188483, 1099999, 815782, 149, 1717032, 1666525
748, 1190507, 944655, 1190787, 1102303, 818086, 149, 1719796, 1669281
749, 1191592, 945624, 1191907, 1103423, 819206, 149, 1721634, 1671118
750, 1192818, 946715, 1193101, 1104617, 820400, 149, 1723385, 1672866
751, 1193963, 947723, 1194256, 1105772, 821555, 149, 1725081, 1674560
752, 1196315, 949808, 1196609, 1108125, 823908, 149, 1727897, 1677374
753, 1197425, 950794, 1197731, 1109247, 825030, 149, 1729675, 1679150
754, 1198649, 951885, 1198925, 1110441, 826224, 149, 1731409, 1680878
755, 1199839, 952947, 1200116, 1111632, 827415, 149, 1733102, 1682569
756, 1202173, 955025, 1202464, 1113980, 829763, 149, 1735830, 1685295
757, 1203347, 956058, 1203650, 1115166, 830949, 149, 1737649, 1687110
758, 1204613, 957187, 1204892, 1116408, 832191, 149, 1739407, 1688856
759, 1207194, 959520, 1207432, 1118948, 834731, 161, 1741694, 1691132
760, 1209510, 961614, 1209755, 1121271, 837054, 161, 1743884, 1693315
761, 1211782, 963652, 1212031, 1123547, 839330, 161, 1746113, 1695537
762, 1214161, 965779, 1214417, 1125933, 841716, 161, 1748277, 1697693
763, 1218132, 969338, 1218445, 1129961, 845744, 161, 1751856, 1701265
764, 1219290, 970315, 1219571, 1131087, 846870, 161, 1753511, 1702914
765, 1220499, 971393, 1220772, 1132288, 848071, 161, 1755170, 1704568
766, 1221763, 972523, 1222009, 1133525, 849308, 161, 1756818, 1706210
767, 1222967, 973611, 1223225, 1134741, 850524, 161, 1758508, 1707894
768, 1224139, 974655, 1224420, 1135936, 851719, 161, 1759995, 1709378
769, 1225372, 975761, 1225634, 1137150, 852933, 161, 1761691, 1711068
770, 1226543, 976809, 1226819, 1138335, 854118, 161, 1763381, 1712747
771, 1227729, 977862, 1227991, 1139507, 855290, 161, 1765080, 1714434
772, 1229550, 979506, 1229825, 1141341, 857124, 161, 1767032, 1716380
773, 1232439, 982017, 1232702, 1144218, 860001, 161, 1770038, 1719380
774, 1233634, 983081, 1233902, 1145418, 861201, 161, 1771792, 1721131
775, 1234886, 984208, 1235167, 1146683, 862466, 161, 1773486, 1722821
776, 1236080, 985267, 1236350, 1147866, 863649, 161, 1775199, 1724529
777, 1237241, 986289, 1237512, 1149028, 864811, 161, 1776821, 1726148
778, 1238490, 987401, 1238747, 1150263, 866046, 161, 1778469, 1727792
779, 1239796, 988584, 1240071, 1151587, 867370, 161, 1780358, 1729679
780, 1241980, 990532, 1242240, 1153756, 869539, 161, 1782846, 1732159
781, 1243229, 991655, 1243496, 1155012, 870795, 161, 1784707, 1734011
782, 1244484, 992783, 1244761, 1156277, 872060, 161, 1786423, 1735719
783, 1245701, 993875, 1245969, 1157485, 873268, 161, 1788153, 1737443
784, 1246967, 995009, 1247218, 1158734, 874517, 161, 1789807, 1739089
785, 1249299, 997099, 1249562, 1161078, 876861, 161, 1792574, 1741846
786, 1250508, 998189, 1250771, 1162287, 878070, 161, 1794311, 1743576
787, 1251708, 999264, 1251958, 1163474, 879257, 161, 1796040, 1745299
788, 1252938, 1000378, 1253195, 1164711, 880494, 161, 1797784, 1747038
