index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 90874, 72132, 91110, 81380, 81380, 212, 35606, 31545
2, 182560, 152085, 182856, 173126, 173126, 219, 71185, 66147
3, 274836, 232150, 275110, 265380, 265380, 235, 106766, 100661
4, 365905, 310849, 366240, 356510, 356510, 250, 142340, 135134
5, 457106, 389461, 457426, 447696, 447696, 268, 177919, 169592
6, 548396, 467969, 548674, 538944, 538944, 298, 213488, 203992
7, 640231, 547251, 640502, 630772, 630772, 320, 249067, 238507
8, 732015, 626380, 732265, 722535, 722535, 335, 284646, 273005
9, 822975, 705061, 823240, 813510, 813510, 354, 320224, 307583
10, 913909, 783673, 914233, 904503, 904503, 380, 355804, 342141
11, 1005009, 862257, 1005337, 995607, 995607, 405, 391391, 376653
12, 1097068, 941569, 1097353, 1087623, 1087623, 433, 426969, 411067
13, 1188285, 1020015, 1188533, 1178803, 1178803, 457, 462543, 445454
14, 1279155, 1098207, 1279410, 1269680, 1269680, 474, 498111, 479882
15, 1369967, 1176417, 1370241, 1360511, 1360511, 489, 533681, 514348
16, 1460908, 1254437, 1461249, 1451519, 1451519, 524, 569249, 548663
17, 1552779, 1333317, 1553151, 1543421, 1543421, 582, 604823, 582991
18, 1643929, 1411125, 1644205, 1634475, 1634475, 636, 640395, 617209
19, 1735351, 1489440, 1735623, 1725893, 1725893, 690, 675973, 651461
20, 1826724, 1567965, 1826989, 1817259, 1817259, 752, 711552, 685853
21, 1918377, 1646884, 1918689, 1908959, 1908959, 826, 747130, 720266
22, 2010520, 1725535, 2010819, 2001089, 2001089, 918, 782708, 754417
23, 2101564, 1802762, 2101960, 2092228, 2092228, 1055, 818287, 788251
24, 2192731, 1879798, 2193074, 2183342, 2183342, 1176, 853874, 821976
25, 2283947, 1957121, 2284248, 2274516, 2274516, 1279, 889454, 855780
