index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
311, 125636245, ( 1410 0 399 986 1339 ), ( 0 880 0 880 880 ), ( 2 3 1 3 3 ), ( 0 0 0 0 1 ), ( 1 1 1 1 1 )
312, 125636249, ( 1510 1587 1783 533 920 ), ( 880 880 880 880 880 ), ( 3 3 3 3 3 ), ( 1 1 1 1 1 ), ( 1 1 1 1 1 )
313, 98694521, ( 1806 ), ( 816 ), ( 3 ), ( 1 ), ( 1 )
314, 119617585, ( 1348 1350 1598 1600 1660 1697 1699 1759 1761 1825 1927 7 9 30 161 163 554 556 704 706 931 933 ), ( 0 547 0 547 547 0 547 0 547 547 0 0 547 0 0 547 0 547 0 547 0 547 ), ( 2 3 2 3 3 2 3 2 3 3 2 2 3 2 2 3 2 3 2 3 2 3 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
315, 123997747, ( 1781 1041 1047 ), ( 0 0 0 ), ( 2 1 1 ), ( 1 1 1 ), ( 1 1 1 )
316, 12219533, ( 1798 1800 1874 ), ( 0 785 0 ), ( 2 3 2 ), ( 1 1 1 ), ( 1 1 1 )
317, 119617586, ( 1349 1351 1451 1480 1599 1601 1661 1698 1700 1760 1762 1826 1928 8 10 31 136 162 164 438 555 557 705 707 932 934 ), ( 0 0 547 547 0 0 0 0 0 0 0 0 0 0 0 0 547 0 0 547 0 0 0 0 0 0 ), ( 1 2 3 3 1 2 2 1 2 1 2 2 1 1 2 1 3 1 2 3 1 2 1 2 1 2 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
318, 116349709, ( 1561 1591 1693 1954 1974 1977 1987 2030 23 103 176 222 225 228 281 284 359 362 453 513 596 606 663 994 1005 1056 1062 1255 1318 ), ( 761 880 880 0 0 0 880 0 880 880 880 0 0 880 0 880 0 880 880 880 880 880 880 880 880 0 880 880 880 ), ( 3 3 3 2 1 2 3 2 3 3 3 1 2 3 2 3 2 3 3 3 3 3 3 3 3 2 3 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
319, 125636243, ( 1543 397 484 ), ( 880 880 880 ), ( 3 3 3 ), ( 0 0 0 ), ( 1 1 1 )
320, 41155731, ( 1442 345 385 976 1153 1208 ), ( 393 393 393 393 393 393 ), ( 3 3 3 3 3 3 ), ( 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 )
321, 119617584, ( 1597 1696 1758 1926 6 29 160 553 703 930 ), ( 547 547 547 547 547 547 547 547 547 547 ), ( 3 3 3 3 3 3 3 3 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 )
322, 125636244, ( 1409 1547 398 418 ), ( 880 880 0 880 ), ( 3 3 2 3 ), ( 0 0 0 0 ), ( 1 1 1 1 )
323, 111930809, ( 1608 ), ( 0 ), ( 1 ), ( 0 ), ( 1 )
324, 125636228, ( 1393 1457 1551 1583 1684 1709 1713 1726 1960 1990 2013 32 56 197 216 250 268 296 316 377 400 434 456 492 523 562 585 672 712 860 947 955 957 1185 ), ( 880 880 880 761 880 0 761 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880 880 761 761 0 880 0 880 0 ), ( 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 2 3 2 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
325, 19313168, ( 1805 1881 1902 1925 141 561 1031 1037 ), ( 0 0 393 0 0 0 0 0 ), ( 1 1 3 1 1 1 2 2 ), ( 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 )
326, 116349718, ( 1550 988 ), ( 0 0 ), ( 1 2 ), ( 0 0 ), ( 1 1 )
327, 19313160, ( 1622 1707 1718 1731 1775 1830 121 135 425 812 ), ( 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 2 1 1 1 2 1 2 2 ), ( 1 1 1 1 1 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 )
328, 125636246, ( 1411 1 1340 ), ( 0 0 0 ), ( 1 2 2 ), ( 0 0 1 ), ( 1 1 1 )
329, 125636247, ( 2 1341 ), ( 0 0 ), ( 1 1 ), ( 0 1 ), ( 1 1 )
330, 116349716, ( 1545 1548 421 486 ), ( 0 880 880 0 ), ( 2 3 3 2 ), ( 0 0 0 0 ), ( 1 1 1 1 )
331, 100909903, ( 1623 1168 ), ( 616 616 ), ( 3 3 ), ( 0 0 ), ( 1 1 )
332, 111930811, ( 1606 ), ( 718 ), ( 3 ), ( 1 ), ( 1 )
333, 125636230, ( 1395 1413 1431 1553 1555 1728 402 458 460 528 591 644 647 667 692 714 716 724 959 961 1025 1034 1302 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 880 0 0 0 0 0 ), ( 1 2 2 1 2 1 1 1 2 2 2 2 2 2 2 1 2 3 1 2 2 2 2 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
334, 41155720, ( 1381 1949 2004 17 541 798 865 1060 1150 ), ( 393 393 393 0 393 393 0 0 393 ), ( 3 3 3 1 3 3 2 1 3 ), ( 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 )
335, 111930810, ( 1607 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
336, 125636229, ( 1394 1396 1412 1423 1430 1464 1552 1554 1727 1964 1979 2014 2018 60 254 272 320 381 401 457 459 496 527 566 586 590 612 643 646 666 691 713 715 779 807 846 881 900 926 956 958 960 972 982 1000 1024 1033 1098 1180 1186 1190 1200 1229 1258 1301 ), ( 0 880 880 880 880 880 0 880 0 880 880 0 880 880 880 880 880 880 0 0 880 880 880 880 0 880 880 880 880 880 880 0 761 880 880 880 880 880 880 0 0 880 880 880 880 880 880 880 880 0 880 880 880 880 880 ), ( 2 3 3 3 3 3 2 3 2 3 3 2 3 3 3 3 3 3 2 2 3 3 3 3 2 3 3 3 3 3 3 2 3 3 3 3 3 3 3 1 2 3 3 3 3 3 3 3 3 1 3 3 3 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
337, 20026748, ( 1096 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
338, 19313207, ( 1461 1485 1487 1627 1704 1741 1743 2000 2002 184 186 188 203 209 211 213 239 241 243 277 292 294 393 395 428 464 466 470 547 601 603 684 686 688 699 702 720 722 759 761 772 774 776 879 896 898 953 1053 1072 1074 1141 1196 1222 1224 1226 1235 1252 ), ( 393 0 0 0 0 0 393 0 0 0 0 393 0 0 0 393 0 0 393 0 0 0 0 0 0 0 0 0 393 0 0 0 0 393 0 0 0 0 0 393 0 0 393 0 0 0 0 0 0 393 393 0 0 0 393 0 0 ), ( 3 1 2 2 1 2 3 1 2 1 2 3 1 1 2 3 1 2 3 2 1 2 1 2 2 1 2 1 3 1 2 1 2 3 1 1 1 2 2 3 1 2 3 2 1 2 1 1 2 3 3 1 1 2 3 1 2 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
339, 20026749, ( 795 ), ( 800 ), ( 3 ), ( 1 ), ( 1 )
340, 19313208, ( 1462 1468 1488 1628 1742 1744 1746 2003 187 189 191 212 214 242 244 278 295 396 429 467 548 604 687 689 694 723 760 762 764 775 777 783 880 899 1073 1075 1077 1142 1225 1227 1253 1342 ), ( 0 393 0 0 0 0 393 0 0 0 393 0 0 0 0 0 0 0 0 0 0 0 0 0 393 0 0 0 393 0 0 393 0 0 0 0 393 0 0 0 0 393 ), ( 2 3 1 1 1 2 3 1 1 2 3 1 2 1 2 1 1 1 1 1 2 1 1 2 3 1 1 2 3 1 2 3 1 1 1 2 3 2 1 2 1 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
341, 116349711, ( 1563 1593 1695 1934 1989 25 178 230 286 364 455 515 598 608 665 914 917 996 1007 1064 1257 1320 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 880 0 0 0 0 0 ), ( 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
342, 125636227, ( 1576 1680 1708 1956 52 246 264 312 430 488 519 859 954 1184 1297 ), ( 816 880 761 880 880 880 880 880 880 880 880 761 880 774 880 ), ( 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
343, 20026759, ( 1814 1861 1908 96 232 502 794 1179 ), ( 0 800 800 0 0 0 0 0 ), ( 2 3 3 1 2 1 1 1 ), ( 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 )
344, 19313218, ( 1364 1509 1575 750 1241 ), ( 0 0 0 0 0 ), ( 1 1 1 1 1 ), ( 1 1 1 1 1 ), ( 1 1 1 1 1 )
345, 116349700, ( 1458 1584 1682 1685 1711 1714 1958 1961 1991 2015 33 54 57 195 198 217 248 251 266 269 297 314 317 378 432 435 490 493 521 524 563 587 673 862 948 1299 ), ( 880 761 0 880 0 761 0 880 880 880 880 0 880 0 880 880 0 880 0 880 880 0 880 880 0 880 0 880 0 880 880 880 761 0 880 0 ), ( 3 3 2 3 2 3 2 3 3 3 3 2 3 2 3 3 2 3 2 3 3 2 3 3 2 3 2 3 2 3 3 3 3 2 3 2 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
346, 125636235, ( 1754 1796 1811 1860 1941 1971 89 102 1313 ), ( 0 0 0 0 0 880 0 0 0 ), ( 1 1 2 1 1 3 2 1 1 ), ( 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 )
347, 123997840, ( 144 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
348, 116349701, ( 1397 1414 1424 1459 1465 1585 1683 1686 1712 1715 1959 1962 1965 1980 1992 2016 2019 34 55 58 61 196 199 218 249 252 255 267 270 273 298 315 318 321 379 382 433 436 491 494 497 522 525 530 564 567 588 613 674 780 808 847 863 882 901 927 949 973 983 1001 1027 1099 1181 1191 1201 1230 1259 1300 1324 ), ( 880 880 880 0 880 0 0 0 0 0 0 0 880 880 0 0 880 0 0 0 880 0 0 0 0 0 880 0 0 880 0 0 0 880 0 880 0 0 0 0 880 0 0 880 0 880 0 880 0 880 880 880 0 880 880 880 0 880 880 880 880 880 880 880 880 880 880 0 880 ), ( 3 3 3 2 3 2 1 2 1 2 1 2 3 3 2 2 3 2 1 2 3 1 2 2 1 2 3 1 2 3 2 1 2 3 2 3 1 2 1 2 3 1 2 3 2 3 2 3 2 3 3 3 1 3 3 3 2 3 3 3 3 3 3 3 3 3 3 1 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
349, 20026761, ( 1477 1496 1863 1883 1896 1910 166 231 650 ), ( 800 0 0 0 800 0 800 800 0 ), ( 3 2 1 2 3 1 3 3 2 ), ( 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 )
350, 125636237, ( 1560 1692 1929 1986 2040 22 173 175 204 227 283 311 361 413 452 512 544 605 662 815 923 993 1004 1061 1108 1197 1254 1317 1345 ), ( 761 880 880 880 0 880 0 880 880 880 880 0 880 0 880 880 880 880 880 0 880 880 880 880 880 880 880 880 880 ), ( 3 3 3 3 2 3 2 3 3 3 3 1 3 2 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
351, 116349703, ( 1366 1399 1416 1426 1467 1667 1788 1831 1885 1967 1982 2021 63 257 275 323 384 499 532 569 615 623 653 782 810 849 884 903 929 975 985 1003 1029 1101 1183 1193 1203 1232 1261 1326 ), ( 880 0 0 0 0 880 880 793 880 0 0 0 0 0 0 0 0 0 0 0 0 880 880 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 3 1 1 1 1 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
352, 125636231, ( 1365 1432 1556 1666 1787 126 461 529 592 622 645 648 652 668 693 717 962 1014 1026 1035 1275 1303 ), ( 880 0 0 880 880 880 0 0 0 880 0 0 880 0 0 0 0 880 0 0 880 0 ), ( 3 1 1 3 3 3 1 1 1 3 1 1 3 1 1 1 1 3 1 1 3 1 ), ( 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ), ( 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 )
353, 119617561, ( 1448 2008 4 856 ), ( 936 0 0 936 ), ( 3 2 2 3 ), ( 0 0 0 0 ), ( 1 1 1 1 )
