index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 22408, 20542, 22645, 22252, 22252, 84, 147071, 136529
2, 46924, 42843, 47120, 46727, 46727, 152, 289509, 272347
3, 75675, 69181, 75881, 75488, 75488, 187, 430205, 405869
4, 101042, 91825, 101264, 100832, 100832, 215, 575963, 546768
5, 123253, 111370, 123529, 123029, 123029, 239, 739356, 704972
6, 141091, 126353, 141439, 140858, 140858, 272, 932100, 891792
7, 149857, 133028, 150815, 149898, 149898, 308, 1177455, 1128963
8, 155768, 137044, 156148, 154771, 154771, 395, 1357775, 1298010
9, 166319, 145921, 166591, 165209, 165209, 484, 1529105, 1462331
10, 181643, 159291, 181859, 180477, 180477, 570, 1692053, 1618094
11, 200385, 176152, 200600, 199218, 199218, 653, 1844911, 1764372
12, 222462, 196174, 222642, 221259, 221259, 729, 1991514, 1904327
13, 247597, 219103, 247792, 246408, 246408, 812, 2136331, 2042613
14, 275157, 244430, 275385, 274001, 274001, 886, 2276636, 2176240
15, 304578, 271612, 304762, 303375, 303375, 945, 2409959, 2303691
16, 333512, 297850, 333717, 332330, 332330, 976, 2537528, 2424180
17, 360061, 321661, 360289, 358876, 358876, 998, 2670397, 2552258
18, 384685, 343647, 384919, 383455, 383455, 1017, 2814731, 2691238
19, 406308, 362586, 406590, 405053, 405053, 1044, 2978612, 2848933
20, 423101, 376680, 423455, 421868, 421868, 1071, 3170182, 3033345
21, 431021, 382647, 432014, 429996, 429996, 1110, 3416454, 3268785
22, 434969, 385223, 435336, 433027, 433027, 1138, 3593518, 3438009
23, 441259, 390172, 442253, 439560, 439560, 1211, 3846667, 3679433
24, 447376, 394634, 447749, 444991, 444991, 1271, 4026658, 3853698
25, 458584, 404114, 458894, 456136, 456136, 1330, 4195041, 4016256
26, 475419, 418579, 475930, 473124, 473124, 1383, 4417880, 4229971
27, 480322, 421960, 481375, 477849, 477849, 1436, 4664031, 4463327
28, 487405, 427259, 488113, 484586, 484586, 1491, 4899552, 4691273
29, 492869, 431117, 493246, 489374, 489374, 1578, 5093138, 4874900
30, 503221, 439860, 503539, 499667, 499667, 1672, 5266389, 5041286
31, 517678, 452437, 517946, 514073, 514073, 1746, 5427483, 5195213
32, 536354, 469138, 536562, 532689, 532689, 1827, 5582383, 5343496
33, 558730, 489448, 558952, 555079, 555079, 1905, 5729697, 5483890
34, 583557, 512110, 583727, 579854, 579854, 1977, 5874040, 5621978
35, 610591, 537006, 610793, 606920, 606920, 2056, 6013716, 5754938
36, 640452, 564542, 640654, 636781, 636781, 2093, 6147187, 5880822
37, 668050, 589402, 668240, 664367, 664367, 2113, 6279950, 6008785
38, 693277, 611933, 693485, 689523, 689523, 2137, 6422805, 6146981
39, 715780, 631745, 716034, 712048, 712048, 2163, 6582795, 6301857
40, 733663, 646905, 734052, 730014, 730014, 2191, 6766807, 6479634
41, 744147, 655100, 744911, 740703, 740703, 2226, 6996852, 6703130
42, 748065, 657424, 748582, 743697, 743697, 2285, 7196102, 6889521
43, 756894, 664755, 757200, 752315, 752315, 2359, 7371136, 7058615
44, 770878, 676918, 771140, 766255, 766255, 2415, 7534311, 7215559
45, 790377, 694172, 790758, 785873, 785873, 2460, 7720182, 7392915
46, 805157, 705982, 805788, 800723, 800723, 2519, 7958901, 7624534
47, 808742, 708234, 809515, 803959, 803959, 2577, 8180780, 7834096
48, 816584, 714378, 816884, 811286, 811286, 2613, 8356367, 8004043
49, 826995, 722912, 828034, 822067, 822067, 2675, 8629542, 8264552
50, 833334, 727417, 833730, 827660, 827660, 2786, 8809357, 8435963
51, 844392, 736774, 844687, 838617, 838617, 2889, 8980015, 8599409
52, 860112, 750489, 860346, 854276, 854276, 2977, 9141152, 8753389
53, 878780, 767277, 879007, 872935, 872935, 3053, 9292398, 8898025
54, 901756, 788149, 901937, 895865, 895865, 3134, 9440841, 9039772
55, 926415, 810650, 926580, 920508, 920508, 3216, 9582143, 9174639
56, 954309, 836273, 954515, 948443, 948443, 3291, 9722362, 9308131
57, 984525, 864101, 984722, 978650, 978650, 3345, 9855713, 9433546
58, 1007476, 884822, 1007679, 1001607, 2190, 1, 9960980, 9534848
59, 1016805, 893271, 1017021, 1010949, 11532, 8, 10008828, 9580891
60, 1025620, 901251, 1025853, 1019780, 20363, 15, 10057550, 9627973
61, 1033898, 908683, 1034109, 1028036, 28619, 20, 10106325, 9675110
62, 1042307, 916288, 1042518, 1036445, 37028, 25, 10154439, 9721653
63, 1049499, 922739, 1049726, 1043653, 44236, 35, 10201959, 9767610
64, 1056095, 928631, 1056344, 1050266, 50849, 41, 10250329, 9814433
65, 1062162, 933990, 1062425, 1056347, 56930, 48, 10299228, 9861818
66, 1067886, 938991, 1068143, 1062065, 62648, 58, 10347252, 9908393
67, 1073192, 943638, 1073462, 1067377, 67960, 63, 10394630, 9954255
68, 1077588, 947414, 1077908, 1071817, 72400, 68, 10441674, 9999784
69, 1081447, 950676, 1081802, 1075707, 76290, 76, 10488583, 10045199
70, 1084723, 953398, 1085075, 1078971, 79554, 82, 10535324, 10090528
71, 1087505, 955744, 1087877, 1081773, 82356, 86, 10581990, 10135940
72, 1089711, 957535, 1090139, 1084033, 84616, 91, 10630252, 10182992
73, 1091296, 958792, 1091819, 1085705, 86288, 100, 10676389, 10227944
74, 1092404, 959620, 1093013, 1086893, 87476, 106, 10721311, 10271781
75, 1093072, 960085, 1093742, 1087619, 88202, 111, 10767587, 10316799
76, 1093349, 960231, 1094187, 1088006, 88589, 116, 10816987, 10361661
77, 1093968, 960630, 1094904, 1088455, 89038, 124, 10832832, 10373598
78, 1095527, 961686, 1096147, 1089698, 90281, 139, 10870686, 10409391
79, 1097356, 963017, 1097612, 1091141, 91724, 149, 10909596, 10446687
80, 1098918, 964370, 1099148, 1092677, 93260, 159, 10947708, 10482976
81, 1100798, 966032, 1101092, 1094621, 95204, 171, 10984391, 10518167
82, 1102811, 967773, 1103079, 1096608, 97191, 181, 11023094, 10555126
83, 1105225, 969858, 1105534, 1099063, 99646, 191, 11059666, 10589919
84, 1107734, 972038, 1107962, 1101491, 102074, 201, 11096777, 10625462
85, 1110736, 974706, 1110973, 1104502, 105085, 211, 11135289, 10662185
86, 1113722, 977367, 1113999, 1107528, 108111, 223, 11171529, 10696668
87, 1116959, 980194, 1117221, 1110750, 111333, 231, 11207818, 10731199
88, 1120418, 983234, 1120668, 1114197, 114780, 242, 11246161, 10767811
89, 1124141, 986558, 1124387, 1117916, 118499, 250, 11282960, 10802667
