index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
1, 2467906, ( 14 15 ), ( 0 16 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
2, 2467894, ( 18 ), ( 95 ), ( 3 ), ( 1 ), ( 1 )
3, 2467901, ( 13 ), ( 16 ), ( 3 ), ( 1 ), ( 1 )
4, 2467912, ( 9 11 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
5, 2467903, ( 1 ), ( 194 ), ( 3 ), ( 1 ), ( 0 )
6, 2467908, ( 2 4 ), ( 0 194 ), ( 2 3 ), ( 1 1 ), ( 1 0 )
7, 2467902, ( 7 ), ( 50 ), ( 3 ), ( 1 ), ( 0 )
8, 2467879, ( 22 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
9, 2467913, ( 3 5 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
10, 2467907, ( 8 10 ), ( 0 50 ), ( 2 3 ), ( 1 1 ), ( 1 0 )
11, 2467884, ( 23 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
12, 2467911, ( 16 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
13, 2467916, ( 17 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
14, 2467899, ( 19 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
15, 81439388, ( 29 31 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
16, 2467904, ( 20 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
17, 81439389, ( 32 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
18, 2467874, ( 21 ), ( 95 ), ( 3 ), ( 1 ), ( 1 )
19, 2467918, ( 6 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
20, 81439386, ( 25 27 ), ( 0 959 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
21, 2467917, ( 12 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
22, 81439385, ( 24 ), ( 959 ), ( 3 ), ( 1 ), ( 1 )
23, 81439387, ( 26 28 30 ), ( 0 0 959 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )

