index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 34623, 24742, 35147, 31393, 31393, 97, 18038, 15390
2, 71257, 54620, 71766, 67829, 67829, 139, 35197, 31759
3, 107925, 84195, 108363, 104053, 104053, 173, 52292, 47982
4, 145347, 115633, 145722, 141111, 141111, 205, 69240, 64208
5, 182636, 146844, 183032, 178197, 178197, 245, 86526, 80772
6, 218980, 176690, 219490, 214642, 214642, 282, 103948, 97470
7, 240553, 192504, 241680, 235775, 235775, 324, 118401, 111180
8, 259531, 205233, 260508, 253133, 253133, 363, 131840, 123869
9, 291059, 230307, 291689, 284103, 284103, 403, 149216, 140511
10, 295879, 232723, 297165, 286757, 286757, 426, 156737, 147265
11, 317894, 249085, 318315, 305538, 305538, 453, 170305, 160023
12, 327810, 256509, 329409, 314957, 314957, 476, 178800, 167746
13, 350741, 273200, 351571, 334980, 334980, 506, 192461, 180624
14, 353662, 274322, 355267, 336084, 336084, 521, 197753, 185133
15, 361259, 277569, 362190, 338135, 338135, 529, 206950, 193492
16, 394047, 301963, 394519, 368396, 368396, 575, 224971, 210566
17, 425637, 326709, 426101, 399787, 399787, 618, 242408, 227178
18, 459569, 353399, 460102, 433521, 433521, 653, 259733, 243693
19, 492715, 379371, 493127, 466115, 466115, 696, 277218, 260431
20, 518427, 398992, 519423, 491824, 491824, 740, 292883, 275323
21, 532892, 408067, 533426, 503378, 503378, 775, 304061, 285740
22, 560851, 429095, 561614, 531247, 531247, 825, 320981, 301926
23, 572833, 436016, 573808, 539792, 539792, 863, 332089, 312247
24, 607910, 463229, 608411, 574017, 574017, 908, 350071, 329372
25, 645441, 493613, 645990, 611425, 611425, 945, 367349, 345903
26, 682835, 523785, 683247, 648498, 648498, 982, 384302, 362030
27, 712789, 546256, 713352, 677820, 677820, 1022, 401581, 378566
28, 735975, 562658, 737001, 699955, 699955, 1062, 417604, 393850
29, 766638, 585410, 767058, 729338, 729338, 1107, 434571, 410075
30, 803529, 614933, 804039, 766036, 766036, 1140, 451823, 426585
