index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 23023, 18927, 23116, 21766, 21766, 117, 10591, 8966
2, 28774, 23123, 28878, 25804, 25804, 169, 14624, 11011
3, 35524, 29521, 36370, 33026, 33026, 190, 23465, 17480
4, 37063, 30534, 37742, 34130, 34130, 201, 32276, 25282
5, 38384, 31510, 38991, 35379, 35379, 203, 39863, 32379
6, 39590, 32390, 40240, 36628, 36628, 207, 47024, 39222
7, 40990, 33479, 41539, 37927, 37927, 207, 54933, 46101
8, 42253, 34429, 42855, 39243, 39243, 207, 63782, 54227
9, 43585, 35434, 44197, 40585, 40585, 209, 72136, 61852
10, 44954, 36432, 45663, 41938, 41938, 215, 81305, 69218
11, 46315, 37160, 47655, 42927, 42927, 242, 90777, 77237
12, 48475, 37653, 50108, 42998, 42998, 244, 99776, 84372
13, 50933, 38153, 52569, 43031, 43031, 244, 108757, 91484
14, 53347, 38628, 54995, 43091, 43091, 245, 117617, 98472
15, 55858, 39132, 57483, 43140, 43140, 246, 126679, 105661
16, 58303, 39633, 59938, 43184, 43184, 246, 135660, 112770
17, 65941, 43482, 66472, 46535, 46535, 317, 147245, 121858
18, 74060, 49503, 74590, 54234, 54234, 356, 160796, 133918
19, 100489, 66527, 101154, 70130, 70130, 486, 182242, 152255
20, 176373, 128576, 176461, 139348, 139348, 740, 213059, 179127
21, 233773, 178159, 233960, 192106, 192106, 767, 241664, 206047
22, 243624, 185123, 245655, 199933, 199933, 805, 249862, 213414
23, 262188, 198106, 262406, 212988, 212988, 904, 259968, 223360
24, 303311, 224842, 303755, 241662, 241662, 1216, 292762, 247584
25, 368406, 282452, 368769, 305632, 305632, 1540, 342293, 279702
26, 375049, 285997, 376817, 310867, 310867, 1657, 354380, 285855
27, 375049, 285997, 376817, 310867, 310867, 1657, 354465, 285855
28, 399618, 304692, 400273, 330511, 330511, 1737, 366047, 294901
29, 410210, 313565, 410312, 339805, 339805, 1777, 371271, 299033
30, 412120, 315361, 413023, 342183, 342183, 1803, 380820, 305665
31, 413627, 316255, 414308, 343139, 343139, 1804, 388955, 313429
32, 415019, 317297, 415647, 344478, 344478, 1807, 396932, 320850
33, 416387, 318299, 417059, 345890, 345890, 1814, 404567, 328053
34, 417859, 319406, 418422, 347253, 347253, 1816, 412757, 335173
35, 419153, 320362, 419768, 348599, 348599, 1817, 422002, 343466
36, 420451, 321351, 421041, 349872, 349872, 1818, 430384, 351131
37, 421789, 322263, 422729, 351167, 351167, 1840, 439552, 358541
38, 423263, 322821, 424831, 351762, 351762, 1875, 448299, 365664
39, 425728, 323305, 427346, 351819, 351819, 1875, 457639, 372955
40, 428129, 323788, 429828, 351922, 351922, 1877, 466898, 380277
41, 430556, 324231, 432243, 351952, 351952, 1877, 475863, 387372
42, 432905, 324727, 434539, 352012, 352012, 1879, 485078, 394274
43, 435287, 325172, 436948, 352063, 352063, 1879, 494104, 401422
44, 444464, 330395, 444962, 357295, 357295, 1955, 507059, 411845
45, 452530, 336390, 453052, 365379, 365379, 1987, 520626, 424138
46, 482557, 355766, 482663, 383880, 383880, 2137, 540606, 440653
47, 601296, 459831, 601500, 496651, 496651, 2381, 590148, 486995
48, 610356, 463919, 610680, 501453, 501453, 2408, 599411, 494776
49, 623977, 472495, 624294, 509807, 509807, 2452, 608504, 503040
50, 638287, 483935, 638362, 522557, 522557, 2542, 616159, 510536
51, 681235, 511745, 681850, 553253, 553253, 2913, 656004, 538741
52, 743703, 566299, 744161, 614205, 6361, 7, 699856, 567120
53, 747910, 568678, 749514, 617887, 10043, 98, 708339, 571863
54, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
55, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
56, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
57, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
58, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
59, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
60, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
61, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
62, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
63, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
64, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
65, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
66, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
67, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
68, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
69, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
70, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
71, 749702, 569091, 751454, 618117, 10273, 105, 711170, 572312
72, 749702, 569091, 751454, 618117, 10273, 105, 711250, 572312
73, 749702, 569091, 751454, 618117, 10273, 105, 711250, 572312
74, 749702, 569091, 751454, 618117, 10273, 105, 711250, 572312
75, 749702, 569091, 751454, 618117, 10273, 105, 711250, 572312
76, 749702, 569091, 751454, 618117, 10273, 105, 711252, 572312
77, 749702, 569091, 751454, 618117, 10273, 105, 711252, 572312
78, 749702, 569091, 751454, 618117, 10273, 105, 711252, 572312
79, 749702, 569091, 751454, 618117, 10273, 105, 711252, 572312
80, 749702, 569091, 751454, 618117, 10273, 105, 711253, 572312
81, 749702, 569091, 751454, 618117, 10273, 105, 711253, 572312
82, 752846, 569838, 754151, 618286, 10442, 111, 712990, 572681
83, 774018, 587609, 774111, 637325, 29481, 180, 721762, 581283
84, 774051, 587609, 774489, 637417, 29573, 182, 722510, 581339
85, 775403, 588493, 776570, 638426, 30582, 194, 724163, 581762
86, 778462, 590410, 778609, 639849, 32005, 213, 725150, 582608
87, 783865, 595552, 783981, 645221, 37377, 219, 727622, 584952
88, 785827, 597393, 786508, 647447, 39603, 227, 729684, 586127
89, 786163, 597715, 786881, 647803, 39959, 234, 732406, 587791
90, 786638, 598157, 787484, 648406, 40562, 244, 736922, 591450
91, 787084, 598526, 788003, 648914, 41070, 247, 740649, 594821
92, 788006, 599003, 788640, 649270, 41426, 248, 744779, 598675
93, 788414, 599294, 788999, 649629, 41785, 249, 746978, 600757
94, 789013, 599734, 789601, 650231, 42387, 249, 751253, 604844
95, 789521, 600118, 790083, 650713, 42869, 250, 753960, 607504
96, 790123, 600579, 790689, 651319, 43475, 251, 757894, 610960
97, 790914, 601178, 791495, 652125, 44281, 252, 762280, 614737
98, 791411, 601543, 791985, 652615, 44771, 253, 765555, 617715
99, 791932, 601948, 792531, 653161, 45317, 254, 769587, 621360
100, 792449, 602334, 793061, 653691, 45847, 255, 773925, 625411
101, 793015, 602779, 793594, 654224, 46380, 255, 777907, 628976
102, 793642, 603236, 794218, 654848, 47004, 255, 782247, 632778
103, 794279, 603703, 794977, 655489, 47645, 255, 786867, 636090
104, 794668, 603976, 795445, 655957, 48113, 257, 791140, 639964
105, 795230, 604328, 796309, 656561, 48717, 277, 795493, 643822
106, 795761, 604599, 796812, 656840, 48996, 277, 799333, 646911
107, 796313, 604773, 797908, 656967, 49123, 290, 803184, 649831
108, 797121, 605014, 798732, 657143, 49299, 293, 806315, 652481
109, 798148, 605182, 799805, 657149, 49305, 293, 810106, 655340
110, 799017, 605333, 800752, 657189, 49345, 293, 813191, 657961
111, 799919, 605506, 801589, 657191, 49347, 293, 816741, 660582
112, 800797, 605731, 802404, 657248, 49404, 293, 820387, 663398
113, 801790, 605907, 803394, 657254, 49410, 293, 823465, 666007
114, 802556, 606074, 804207, 657260, 49416, 293, 826806, 668413
115, 803499, 606238, 805179, 657260, 49416, 293, 829936, 671074
116, 804540, 606401, 806276, 657269, 49425, 293, 833742, 673940
117, 805290, 606615, 806915, 657275, 49431, 293, 837352, 676647
118, 806430, 606885, 807950, 657346, 49502, 295, 841279, 679943
119, 807201, 607057, 808807, 657351, 49507, 295, 844617, 682341
120, 808164, 607224, 809775, 657357, 49513, 295, 847794, 685048
121, 808942, 607391, 810588, 657364, 49520, 295, 851098, 687416
122, 812659, 608773, 813534, 657790, 49946, 305, 855232, 690085
123, 816749, 611546, 817275, 661023, 53179, 340, 861126, 695311
124, 820412, 614351, 820932, 664289, 56445, 357, 867124, 700536
125, 824169, 617145, 824694, 667540, 59696, 367, 873019, 705844
126, 827836, 619950, 828367, 670789, 62945, 369, 878994, 711392
127, 839139, 626509, 839241, 675747, 67903, 415, 885293, 715921
128, 846049, 631921, 848061, 682043, 74199, 467, 893274, 723397
129, 852352, 635703, 852953, 684842, 76998, 495, 895761, 725124
130, 861433, 642040, 862337, 691292, 83448, 526, 899258, 727527
131, 908624, 682494, 908970, 737378, 129534, 682, 918048, 744349
132, 947345, 717735, 947426, 775032, 167188, 711, 937439, 763684
133, 967704, 736253, 968458, 795690, 187846, 718, 951194, 777033
134, 968706, 736385, 970633, 796283, 188439, 723, 953325, 778107
135, 972462, 738039, 973139, 796640, 188796, 728, 955571, 780275
136, 976903, 741335, 977309, 799838, 191994, 743, 958537, 783149
137, 977243, 741355, 977952, 799838, 191994, 743, 959889, 784464
138, 981372, 744556, 983359, 804019, 196175, 771, 962748, 786630
139, 987153, 747710, 987626, 805765, 197921, 781, 965759, 789640
140, 989783, 749295, 990252, 807348, 199504, 786, 968089, 791970
141, 998939, 756571, 999183, 815856, 208012, 880, 972813, 796535
142, 1000491, 757960, 1000620, 817293, 209449, 880, 973309, 797031
143, 1002565, 759879, 1003670, 820343, 212499, 942, 975311, 798686
144, 1034909, 779630, 1035526, 840905, 233061, 1116, 998819, 817526
145, 1035206, 779825, 1036449, 841022, 233178, 1121, 1000796, 817901
146, 1039650, 782863, 1040067, 844201, 236357, 1166, 1006770, 821528
147, 1042846, 785297, 1043529, 847445, 239601, 1209, 1013543, 825611
148, 1080296, 819396, 1080488, 884131, 276287, 1296, 1034345, 841251
149, 1090161, 827891, 1090527, 894126, 286282, 1351, 1046936, 845060
150, 1105594, 841043, 1106045, 909579, 301735, 1398, 1059096, 855195
151, 1110084, 843217, 1111936, 912976, 305132, 1487, 1067086, 858904
152, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
153, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
154, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
155, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
156, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
157, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
158, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
159, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
160, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
161, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
162, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
163, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
164, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
165, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
166, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
167, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
168, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
169, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068824, 859133
170, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068904, 859133
171, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068904, 859133
172, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068904, 859133
173, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068904, 859133
174, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068906, 859133
175, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068906, 859133
176, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068906, 859133
177, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068906, 859133
178, 1111101, 843387, 1112857, 912986, 305142, 1487, 1068907, 859133
179, 1111440, 843387, 1113217, 912986, 305142, 1487, 1069149, 859133
180, 1115094, 844462, 1116190, 913395, 305551, 1496, 1071615, 860395
181, 1135314, 861798, 1135407, 932312, 324468, 1562, 1079410, 868097
