Output File,Benchmark,pref_cpu0_L2C,IPC,cpu0_L2C TOTAL,cpu0_L2C TOTAL,cpu0_L2C TOTAL,cpu0_L2C LOAD,cpu0_L2C LOAD,cpu0_L2C LOAD,cpu0_L2C RFO,cpu0_L2C RFO,cpu0_L2C RFO,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C PREFETCH,cpu0_L2C WRITEBACK,cpu0_L2C WRITEBACK,cpu0_L2C WRITEBACK,cpu0_L2C TRANSLATION,cpu0_L2C TRANSLATION,cpu0_L2C TRANSLATION,cpu0_L2C AVERAGE MISS
,,,,ACCESS,HIT,MISS,ACCESS,HIT,MISS,ACCESS,HIT,MISS,ACCESS,HIT,MISS,REQUESTED,ISSUED,USEFUL,USELESS,ACCESS,HIT,MISS,ACCESS,HIT,MISS,LATENCY
out_ip-stride_6_605_205337.txt,605.mcf_s-665B.champsimtrace.xz,IP-based stride prefetcher,0.421404,59076865,29978345,29098520,37515415,10966515,26548900,3708545,1981938,1726607,12269929,11455386,814543,18376620,12648164,749523,65107,5578792,5574413,4379,4184,93,4091,111.798
out_no_12_620_165701.txt,620.omnetpp_s-874B.champsimtrace.xz,no,0.532344
out_no_15_649_183010.txt,649.fotonik3d_s-1176B.champsimtrace.xz,no,1.13802
out_no_6_605_152158.txt,605.mcf_s-665B.champsimtrace.xz,no,0.429728
out_ip-stride_13_648_233151.txt,648.exchange2_s-1699B.champsimtrace.xz,IP-based stride prefetcher,1.27033,3515,3361,154,3498,3361,137,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,156.13
out_ip-stride_11_644_222712.txt,644.nab_s-5853B.champsimtrace.xz,IP-based stride prefetcher,1.23261,10227657,9998886,228771,3907200,3704870,202330,6234,5654,580,4970637,4944946,25691,4970826,4970638,23797,1916,1339989,1339931,58,3597,3485,112,134.237
out_no_9_641_152158.txt,641.leela_s-800B.champsimtrace.xz,no,0.965366
out_no_17_654_194254.txt,654.roms_s-842B.champsimtrace.xz,no,1.13285
out_no_7_638_152158.txt,638.imagick_s-10316B.champsimtrace.xz,no,2.91195
out_ip-stride_7_638_211328.txt,638.imagick_s-10316B.champsimtrace.xz,IP-based stride prefetcher,2.90252,31076950,30848634,228316,8893740,8700915,192825,5929,5580,349,22162376,22127241,35135,22162382,22162382,33942,1202,14294,14294,0,611,604,7,50.3894
out_ip-stride_9_641_213618.txt,641.leela_s-800B.champsimtrace.xz,IP-based stride prefetcher,0.965156,4055690,3967159,88531,2044087,1995197,48890,240844,204502,36342,1347224,1343951,3273,1382478,1349173,2641,609,423182,423160,22,353,349,4,201.93
out_ip-stride_14_621_234457.txt,621.wrf_s-575B.champsimtrace.xz,IP-based stride prefetcher,0.885399,37613043,28071618,9541425,11891183,4639818,7251365,3764511,1922408,1842103,15621395,15179557,441838,17444292,16201506,386639,55167,6332776,6327463,5313,3178,2372,806,632.572
out_no_8_607_152158.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,no,1.02545
out_ip-stride_8_607_213126.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,IP-based stride prefetcher,1.02545,121254495,108449502,12804993,110021720,97389513,12632207,4604547,4465229,139318,62838,60119,2719,62838,62838,2512,204,6458045,6457407,638,107345,77234,30111,609.177
out_no_10_619_161628.txt,619.lbm_s-4268B.champsimtrace.xz,no,0.296085
out_no_19_657_203811.txt,657.xz_s-3167B.champsimtrace.xz,no,1.36287
out_ip-stride_10_619_220447.txt,619.lbm_s-4268B.champsimtrace.xz,IP-based stride prefetcher,0.294491,104487348,70877751,33609597,8123657,233,8123424,45489306,20328627,25160679,5385000,5060711,324289,7892698,5787799,321997,2292,45489316,45488180,1136,69,0,69,1033.73
out_next-line_10_619_040413.txt,619.lbm_s-4268B.champsimtrace.xz,Next Line prefetcher
out_next-line_13_648_050900.txt,648.exchange2_s-1699B.champsimtrace.xz,Next Line prefetcher,1.27034,6942,6797,145,3498,3419,79,17,0,17,3427,3378,49,3498,3498,81,0,0,0,0,0,0,0,137.248
out_next-line_15_649_054053.txt,649.fotonik3d_s-1176B.champsimtrace.xz,Next Line prefetcher,1.29861,27982135,18088966,9893169,13174186,5821503,7352683,17293,12338,4955,6029395,3495290,2534105,13174188,13174188,9049713,196600,8756645,8756641,4,4616,3194,1422,51.9257
out_next-line_8_607_031737.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,Next Line prefetcher,1.41891,188155913,171150079,17005834,110231478,104749175,5482303,4722301,4565215,157086,66504759,55175092,11329667,110231478,68218941,9934921,1406833,6590030,6586664,3366,107345,73933,33412,908.776
out_next-line_19_657_074243.txt,657.xz_s-3167B.champsimtrace.xz,Next Line prefetcher,1.37442,12376363,9173721,3202642,3764846,2445540,1319306,1252836,776123,476713,3668103,2274133,1393970,3764846,3764810,591361,887932,3682983,3671068,11915,7595,6857,738,140.706
out_next-line_9_641_031748.txt,641.leela_s-800B.champsimtrace.xz,Next Line prefetcher,0.96782,4730797,4630544,100253,2044088,2003818,40270,240844,204561,36283,2022331,1998659,23672,2044088,2044088,35560,6621,423181,423159,22,353,347,6,141.21
out_ip-stride_17_654_014958.txt,654.roms_s-842B.champsimtrace.xz,IP-based stride prefetcher,1.12505,7190306,4576010,2614296,1502829,154,1502675,999667,392,999275,3688002,3577714,110288,3975167,3835598,104334,5957,999769,997750,2019,39,0,39,350.104
out_ip-stride_15_649_002635.txt,649.fotonik3d_s-1176B.champsimtrace.xz,IP-based stride prefetcher,1.02584,42032502,31220102,10812400,13174183,3246863,9927320,17293,11407,5886,20079765,19202130,877635,20780932,20587317,728728,148811,8756645,8756645,0,4616,3057,1559,260.732
out_next-line_17_654_062156.txt,654.roms_s-842B.champsimtrace.xz,Next Line prefetcher,1.28978,4053663,1510161,2543502,1502829,511348,991481,999667,408,999259,551359,655,550704,1502829,1502829,1372843,39461,999769,997750,2019,39,0,39,219.313
out_next-line_12_620_042534.txt,620.omnetpp_s-874B.champsimtrace.xz,Next Line prefetcher,0.548931,42311001,22995440,19315561,16354737,6776313,9578424,2384889,1113042,1271847,14413660,5970791,8442869,16354737,16354675,3709088,5100258,9052268,9040080,12188,105447,95214,10233,159.869
out_next-line_14_621_052750.txt,621.wrf_s-575B.champsimtrace.xz,Next Line prefetcher,0.97456,28929601,19366625,9562976,11891636,6451899,5439737,3758265,1932929,1825336,6949148,4657183,2291965,11891641,11787486,6132494,361701,6327361,6322251,5110,3191,2363,828,390.69
out_next-line_11_644_041746.txt,644.nab_s-5853B.champsimtrace.xz,Next Line prefetcher,1.25286,9163586,8952427,211159,3907201,3892014,15187,6235,5716,519,3906559,3711236,195323,3907201,3907197,186952,8318,1339993,1339971,22,3598,3490,108,121.697
out_next-line_16_623_060235.txt,623.xalancbmk_s-700B.champsimtrace.xz,Next Line prefetcher,0.868281,94698560,83052016,11646544,46378316,40097407,6280909,1499308,304215,1195093,44491181,40321265,4169916,46378316,46378262,1766964,2927129,2327643,2327545,98,2112,1584,528,43.5438
out_ip-stride_16_623_003647.txt,623.xalancbmk_s-700B.champsimtrace.xz,IP-based stride prefetcher,0.891879,53817411,50440493,3376918,46371494,44300162,2071332,1499279,256627,1242652,3616857,3554408,62449,6483497,3669387,26119,36338,2327669,2327653,16,2112,1643,469,105.146
out_next-line_6_605_024419.txt,605.mcf_s-665B.champsimtrace.xz,Next Line prefetcher,0.415472,76777365,29937501,46839864,37515046,12923193,24591853,3708433,1335698,2372735,29971030,10106087,19864943,37515048,37514938,7215913,13935444,5578672,5572510,6162,4184,13,4171,115.561
out_next-line_18_625_072607.txt,625.x264_s-18B.champsimtrace.xz,Next Line prefetcher,2.49668,6852430,5529963,1322467,2946683,2557340,389343,544038,149519,394519,2701585,2164688,536897,2946683,2946487,685616,48803,659329,657753,1576,795,663,132,290.011
out_ip-stride_19_657_021645.txt,657.xz_s-3167B.champsimtrace.xz,IP-based stride prefetcher,1.3595,9259502,7320268,1939234,3764821,2333983,1430838,1252836,801774,451062,551282,500275,51007,662470,569233,29055,21925,3682968,3676999,5969,7595,7237,358,178.686
out_next-line_7_638_031343.txt,638.imagick_s-10316B.champsimtrace.xz,Next Line prefetcher,2.92629,17806864,17631884,174980,8893740,8827340,66400,5929,5574,355,8892290,8784071,108219,8893740,8893740,61976,46945,14294,14294,0,611,605,6,57.7125
out_ip-stride_18_625_021348.txt,625.x264_s-18B.champsimtrace.xz,IP-based stride prefetcher,2.34661,4936260,3645606,1290654,2946474,2084600,861874,544076,146250,397826,785537,755947,29590,1097366,829940,26220,3400,659379,658136,1243,794,673,121,378.621
out_ip-stride_8_607_230124.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",1.02545,121254495,108449502,12804993,110021720,97389513,12632207,4604547,4465229,139318,62838,60119,2719,62838,62838,2512,204,6458045,6457407,638,107345,77234,30111,609.177
out_ip-stride_6_605_224014.txt,605.mcf_s-665B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",0.421404,59076865,29978345,29098520,37515415,10966515,26548900,3708545,1981938,1726607,12269929,11455386,814543,18376620,12648164,749523,65107,5578792,5574413,4379,4184,93,4091,111.798
out_no_9_641_200649.txt,641.leela_s-800B.champsimtrace.xz,no,0.965366
out_ip-stride_7_638_230010.txt,638.imagick_s-10316B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",2.90252,31076950,30848634,228316,8893740,8700915,192825,5929,5580,349,22162376,22127241,35135,22162382,22162382,33942,1202,14294,14294,0,611,604,7,50.3894
out_next-line_0_600_235415.txt,600.perlbench_s-210B.champsimtrace.xz,Next Line prefetcher,1.59149,5365062,4682796,682266,2541534,2190139,351395,80730,52534,28196,2479270,2179022,300248,2541534,2541533,183189,135462,262361,260270,2091,1167,831,336,124.257
out_no_2_602_173914.txt,602.gcc_s-734B.champsimtrace.xz,no,0.556032
out_no_6_605_190114.txt,605.mcf_s-665B.champsimtrace.xz,no,0.429728
out_ip-stride_3_628_214707.txt,628.pop2_s-17B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",1.7742,38521776,31522856,6998920,10074864,5574567,4500297,5017680,2867637,2150043,16882241,16543467,338774,19648399,17259223,313701,25077,6534651,6528831,5820,12340,8354,3986,240.806
out_no_0_600_173914.txt,600.perlbench_s-210B.champsimtrace.xz,no,1.56595
out_no_7_638_193209.txt,638.imagick_s-10316B.champsimtrace.xz,no,2.91195
out_no_5_631_185914.txt,631.deepsjeng_s-928B.champsimtrace.xz,no,1.26781
out_ip-stride_1_627_203926.txt,627.cam4_s-573B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",1.01366,19647530,13549206,6098324,3480532,2770816,709716,6561567,1215356,5346211,2646140,2605847,40293,3321892,2700510,30868,9410,6957806,6956270,1536,1485,917,568,889.867
out_no_8_607_193442.txt,607.cactuBSSN_s-2421B.champsimtrace.xz,no,1.02545
out_ip-stride_9_641_234404.txt,641.leela_s-800B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",0.965156,4055690,3967159,88531,2044087,1995197,48890,240844,204502,36342,1347224,1343951,3273,1382478,1349173,2641,609,423182,423160,22,353,349,4,201.93
out_ip-stride_4_603_220459.txt,603.bwaves_s-3699B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",1.63225,442060,239513,202547,35723,2157,33566,167859,452,167407,70996,69642,1354,70996,70996,1351,3,167235,167015,220,247,247,0,268.808
out_no_1_627_173914.txt,627.cam4_s-573B.champsimtrace.xz,no,1.01419
out_no_4_603_184312.txt,603.bwaves_s-3699B.champsimtrace.xz,no,1.63261
out_ip-stride_2_602_211537.txt,602.gcc_s-734B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",0.544924,23580970,14819168,8761802,16488403,8241059,8247344,9966,1611,8355,6901015,6400948,500067,6946545,6945366,412338,87705,164522,164480,42,17064,11070,5994,117.034
out_ip-stride_0_600_202617.txt,600.perlbench_s-210B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",1.56492,2987690,2521565,466125,2541661,2123419,418242,80740,52095,28645,101779,83950,17829,110159,103364,8586,9166,262343,261171,1172,1167,930,237,140.821
out_no_3_628_173917.txt,628.pop2_s-17B.champsimtrace.xz,no,1.79674
out_ip-stride_5_631_223652.txt,631.deepsjeng_s-928B.champsimtrace.xz,"IP-based stride prefetcher, Sets = 256 ways = 4",1.26779,1770913,1482090,288823,994065,716592,277473,200884,192922,7962,14476,12306,2170,14502,14485,912,1260,427172,426641,531,134316,133629,687,171.689
out_spp-dev_7_638_053628.txt,638.imagick_s-10316B.champsimtrace.xz,Next Line prefetcher,2.92629,17806864,17631884,174980,8893740,8827340,66400,5929,5574,355,8892290,8784071,108219,8893740,8893740,61976,46945,14294,14294,0,611,605,6,57.7125
out_spp-dev_9_641_062036.txt,641.leela_s-800B.champsimtrace.xz,Next Line prefetcher,0.96782,4730797,4630544,100253,2044088,2003818,40270,240844,204561,36283,2022331,1998659,23672,2044088,2044088,35560,6621,423181,423159,22,353,347,6,141.21
out_next-line_7_638_022518.txt,638.imagick_s-10316B.champsimtrace.xz,Next Line prefetcher,2.92629,17806864,17631884,174980,8893740,8827340,66400,5929,5574,355,8892290,8784071,108219,8893740,8893740,61976,46945,14294,14294,0,611,605,6,57.7125
out_spp-dev_4_603_043604.txt,603.bwaves_s-3699B.champsimtrace.xz,Next Line prefetcher,1.64383,398147,196376,201771,35720,26502,9218,167858,453,167405,27114,2186,24928,35720,35720,32969,549,167202,166982,220,253,253,0,658.122
out_spp-dev_2_602_041123.txt,602.gcc_s-734B.champsimtrace.xz,Next Line prefetcher,0.911406,29915265,21363645,8551620,16488407,12920211,3568196,9966,2212,7754,13235363,8265670,4969693,16488407,16488407,7903336,264516,164465,164421,44,17064,11131,5933,68.2466
