CELLNAME,IPC,L1D_Prefetch_Requested,L1D_Prefetch_Issued,L1D_Prefetch_Useful,L1D_Prefetch_Useless,L1D_Average_Miss_Latency,L2C_Prefetch_Requested,L2C_Prefetch_Issued,L2C_Prefetch_Useful,L2C_Prefetch_Useless,L2C_Average_Miss_Latency
out_next-line-degree-3_0_600_210618.txt,1.61089,0,0,0,0,44.074,6271025,5903530,484733,257181,115.772
out_next-line-degree-3_10_619_235318.txt,,,,,,,,,,,
out_next-line-degree-3_11_644_002445.txt,1.25302,0,0,0,0,11.5661,10624557,10621741,198646,5451,123.385
out_next-line-degree-3_12_620_002801.txt,0.524763,0,0,0,0,103.452,41813761,40917865,9389606,12857454,184.105
out_next-line-degree-3_13_648_005658.txt,1.27035,0,0,0,0,334.111,8750,7608,95,0,155.315
out_next-line-degree-3_14_621_012519.txt,1.05795,0,0,0,0,290.313,26866253,25202000,6036600,403686,446.969
out_next-line-degree-3_15_649_013614.txt,1.49343,0,0,0,0,103.047,37783630,36765196,9238383,11098,109.257
out_next-line-degree-3_1_627_210618.txt,1.01958,0,0,0,0,571.123,8977908,8080937,539218,169744,879.107
out_next-line-degree-3_16_623_015059.txt,0.816001,0,0,0,0,23.0494,104603695,100431883,9816001,13980988,28.9519
out_next-line-degree-3_17_654_022742.txt,1.32016,0,0,0,0,331.844,4299579,4050537,1379672,37408,306.126
out_next-line-degree-3_18_625_031919.txt,2.51012,0,0,0,0,201.411,7185558,6317785,647493,29702,315.356
out_next-line-degree-3_19_657_033045.txt,1.35019,0,0,0,0,77.6364,10577579,10471319,1330383,2463894,151.1
out_next-line-degree-3_2_602_210618.txt,0.993081,0,0,0,0,15.1005,47475573,47395623,8113048,250167,113.794
out_next-line-degree-3_3_628_210618.txt,1.95692,0,0,0,0,98.9322,24740676,22477193,4079212,413424,186.992
out_next-line-degree-3_4_603_221034.txt,1.64423,0,0,0,0,865.479,102622,102150,31336,47,965.281
out_next-line-degree-3_5_631_221407.txt,1.26666,0,0,0,0,69.3599,2703034,2662499,109576,415091,175.646
out_next-line-degree-3_6_605_222352.txt,0.33727,0,0,0,0,152.26,98312451,90586508,15060465,29525618,209.468
out_next-line-degree-3_7_638_230013.txt,2.92607,0,0,0,0,11.1929,24363163,24235889,95138,5153,62.0917
out_next-line-degree-3_8_607_230422.txt,1.70224,0,0,0,0,21.6485,147882604,99588900,9130928,957311,380.6
out_next-line-degree-3_9_641_232101.txt,0.967749,0,0,0,0,21.2081,5887697,5794902,55901,24002,194.18
