index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 23023, 18927, 23116, 21450, 21450, 117, 10591, 8966
2, 28774, 23123, 28878, 25487, 25487, 168, 14624, 11011
3, 35524, 29521, 36370, 32708, 32708, 189, 23465, 17480
4, 37063, 30534, 37742, 33812, 33812, 200, 32276, 25282
5, 38384, 31510, 38991, 35061, 35061, 202, 39863, 32379
6, 39590, 32390, 40240, 36310, 36310, 206, 47024, 39222
7, 40990, 33479, 41539, 37609, 37609, 206, 54933, 46101
8, 42253, 34429, 42855, 38925, 38925, 206, 63782, 54227
9, 43585, 35434, 44197, 40267, 40267, 208, 72136, 61852
10, 44954, 36432, 45663, 41621, 41621, 214, 81305, 69218
11, 46315, 37160, 47655, 42601, 42601, 241, 90777, 77237
12, 48475, 37653, 50108, 42670, 42670, 243, 99776, 84372
13, 50933, 38153, 52569, 42702, 42702, 243, 108757, 91484
14, 53347, 38628, 54995, 42762, 42762, 244, 117617, 98472
15, 55858, 39132, 57483, 42810, 42810, 245, 126679, 105661
16, 58303, 39633, 59938, 42851, 42851, 245, 135660, 112770
17, 65941, 43482, 66472, 46191, 46191, 314, 147245, 121858
18, 74060, 49503, 74590, 53886, 53886, 355, 160796, 133918
19, 100489, 66527, 101154, 69808, 69808, 485, 182242, 152255
20, 176373, 128576, 176461, 139025, 139025, 739, 213059, 179127
21, 233773, 178159, 233960, 191783, 191783, 766, 241664, 206047
22, 243624, 185123, 245655, 199609, 199609, 804, 249862, 213414
23, 262188, 198106, 262406, 212664, 212664, 903, 259968, 223360
24, 303311, 224842, 303755, 241334, 241334, 1215, 292762, 247584
25, 368406, 282452, 368769, 305305, 305305, 1539, 342293, 279702
26, 375049, 285997, 376817, 310547, 310547, 1656, 354380, 285855
27, 375049, 285997, 376817, 310547, 310547, 1656, 354465, 285855
28, 399618, 304692, 400273, 330191, 330191, 1736, 366047, 294901
29, 410210, 313565, 410312, 339485, 339485, 1776, 371271, 299033
30, 412120, 315361, 413023, 341863, 341863, 1802, 380820, 305665
31, 413627, 316255, 414308, 342819, 342819, 1803, 388955, 313429
32, 415019, 317297, 415647, 344158, 344158, 1806, 396932, 320850
33, 416387, 318299, 417059, 345570, 345570, 1813, 404567, 328053
34, 417859, 319406, 418422, 346933, 346933, 1815, 412757, 335173
35, 419153, 320362, 419768, 348279, 348279, 1816, 422002, 343466
36, 420451, 321351, 421041, 349552, 349552, 1817, 430384, 351131
37, 421789, 322263, 422729, 350846, 350846, 1839, 439552, 358541
38, 423263, 322821, 424831, 351441, 351441, 1874, 448299, 365664
39, 425728, 323305, 427346, 351498, 351498, 1874, 457639, 372955
40, 428129, 323788, 429828, 351600, 351600, 1876, 466898, 380277
41, 430556, 324231, 432243, 351630, 351630, 1876, 475863, 387372
