index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 456, 456, 2024, 2002, 2002, 117, 64651, 21096
2, 2466, 1072, 3950, 2174, 2174, 133, 130673, 44691
3, 4360, 1593, 5929, 2289, 2289, 147, 194612, 68142
4, 6130, 1948, 7824, 2307, 2307, 152, 255881, 89850
5, 8181, 2426, 9806, 2357, 2357, 160, 324098, 114287
6, 10225, 2888, 11871, 2364, 2364, 161, 388372, 136876
7, 12070, 3170, 13850, 2364, 2364, 161, 453429, 159748
8, 14023, 3513, 15724, 2364, 2364, 161, 521602, 183175
9, 16155, 3970, 17765, 2364, 2364, 161, 585900, 205978
10, 17906, 4313, 19601, 2378, 2378, 166, 652258, 225305
11, 19913, 4707, 21617, 2380, 2380, 166, 716916, 247919
12, 21912, 5165, 23529, 2384, 2384, 166, 786009, 271657
13, 23838, 5592, 25480, 2411, 2411, 171, 852124, 293300
14, 25621, 5833, 27442, 2419, 2419, 172, 916944, 312233
15, 27844, 6324, 29431, 2425, 2425, 173, 981939, 335596
16, 29789, 6830, 31353, 2497, 2497, 182, 1047085, 359938
17, 31629, 7283, 33219, 2524, 2524, 186, 1110116, 382166
18, 33437, 7748, 35056, 2591, 2591, 200, 1174354, 405754
19, 35285, 8144, 36927, 2640, 2640, 211, 1242694, 429892
20, 37361, 8565, 39091, 2642, 2642, 211, 1307048, 452370
21, 39259, 9024, 40878, 2699, 2699, 216, 1374124, 476231
22, 41068, 9404, 42746, 2715, 2715, 218, 1433707, 497449
23, 43051, 9831, 44717, 2722, 2722, 220, 1497339, 519531
24, 45058, 10262, 46686, 2762, 2762, 225, 1563719, 542928
25, 46974, 10530, 48784, 2768, 2768, 227, 1630794, 565131
26, 49092, 10838, 50915, 2776, 2776, 228, 1696532, 586906
27, 51056, 11169, 52830, 2778, 2778, 228, 1764205, 606617
28, 53099, 11594, 54773, 2802, 2802, 231, 1822174, 626220
29, 55005, 12025, 56638, 2847, 2847, 235, 1887917, 649780
30, 56921, 12471, 58435, 2970, 2970, 249, 1953630, 673200
31, 58667, 12867, 60341, 3013, 3013, 257, 2017750, 695238
32, 60614, 13292, 62275, 3029, 3029, 262, 2079334, 716700
33, 62672, 13831, 64222, 3128, 3128, 271, 2146111, 740334
34, 64579, 14225, 66279, 3143, 3143, 273, 2212809, 763836
35, 66415, 14582, 68132, 3148, 3148, 275, 2279335, 787508
36, 68576, 15078, 70201, 3174, 3174, 278, 2341280, 809575
37, 70492, 15512, 72101, 3202, 3202, 284, 2411665, 834189
38, 72356, 15879, 74080, 3219, 3219, 289, 2477315, 857184
39, 74338, 16121, 76187, 3219, 3219, 289, 2545735, 880071
40, 76297, 16513, 77964, 3230, 3230, 292, 2609951, 902794
41, 78226, 16808, 80014, 3251, 3251, 294, 2671058, 919906
42, 80287, 17150, 82016, 3259, 3259, 296, 2738376, 943613
43, 82142, 17503, 83837, 3265, 3265, 297, 2803704, 965983
44, 84072, 17914, 85717, 3286, 3286, 303, 2869210, 988983
45, 85870, 18227, 87647, 3300, 3300, 304, 2934550, 1011274
46, 87965, 18599, 89666, 3304, 3304, 305, 2997669, 1033312
47, 89992, 18975, 91691, 3328, 3328, 309, 3064216, 1056088
48, 92107, 19447, 93714, 3349, 3349, 312, 3128664, 1079550
