index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 107350, 24231, 108765, 2051, 2051, 25, 37720, 8779
2, 216169, 54912, 217599, 2051, 2051, 25, 75396, 19827
3, 324730, 82897, 326418, 2051, 2051, 25, 113097, 29964
4, 433890, 110183, 435276, 2051, 2051, 25, 150773, 39851
5, 542418, 139838, 544089, 2051, 2051, 25, 188456, 50564
6, 651454, 170783, 652854, 2051, 2051, 25, 226133, 61749
7, 760100, 197746, 761676, 2051, 2051, 25, 263833, 71506
8, 868878, 224159, 870518, 2051, 2051, 25, 301511, 81048
9, 977790, 252801, 979353, 2051, 2051, 25, 339193, 91411
10, 1086787, 281967, 1088175, 2051, 2051, 25, 376872, 101936
11, 1195623, 312069, 1197018, 2051, 2051, 25, 414573, 112845
12, 1303999, 340029, 1305867, 2051, 2051, 25, 452247, 122945
13, 1413009, 366799, 1414662, 2051, 2051, 25, 489930, 132630
14, 1522089, 395380, 1523484, 2051, 2051, 25, 527609, 142971
15, 1630915, 423022, 1632312, 2051, 2051, 25, 565309, 152999
16, 1739529, 451564, 1741136, 2051, 2051, 25, 602985, 163308
17, 1848418, 477871, 1849944, 2051, 2051, 25, 640667, 172852
18, 1957369, 506960, 1958766, 2051, 2051, 25, 678345, 183369
19, 2066173, 534840, 2067564, 2051, 2051, 25, 716046, 193474
20, 2174629, 563904, 2176371, 2051, 2051, 25, 753722, 203989
21, 2283790, 590559, 2285187, 2051, 2051, 25, 791405, 213671
22, 2392599, 618216, 2394042, 2051, 2051, 25, 829082, 223650
23, 2501404, 648702, 2502873, 2051, 2051, 25, 866782, 234670
24, 2609826, 674017, 2611682, 2051, 2051, 25, 904459, 243873
25, 2718817, 700348, 2720541, 2051, 2051, 25, 942142, 253426
26, 2827768, 730277, 2829345, 2051, 2051, 25, 979819, 264261
27, 2936767, 759359, 2938164, 2051, 2051, 25, 1017519, 274784
28, 3045501, 786207, 3046959, 2051, 2051, 25, 1055195, 284494
29, 3154129, 813501, 3155784, 2051, 2051, 25, 1092879, 294390
30, 3263242, 839556, 3264630, 2051, 2051, 25, 1130557, 303813
31, 3372036, 868786, 3373443, 2051, 2051, 25, 1168256, 314393
32, 3480237, 896155, 3482285, 2051, 2051, 25, 1205932, 324310
33, 3589689, 922912, 3591120, 2051, 2051, 25, 1243618, 334019
34, 3698359, 950443, 3699903, 2051, 2051, 25, 1281294, 343998
35, 3807298, 979792, 3808731, 2051, 2051, 25, 1318995, 354626
36, 3915559, 1004843, 3917577, 2051, 2051, 25, 1356671, 363718
37, 4024476, 1032152, 4026411, 2051, 2051, 25, 1394356, 373620
38, 4133725, 1060776, 4135260, 2051, 2051, 25, 1432032, 383966
39, 4242637, 1089138, 4244064, 2051, 2051, 25, 1469731, 394269
40, 4351008, 1117864, 4352924, 2051, 2051, 25, 1507408, 404665
41, 4460341, 1144153, 4461747, 2051, 2051, 25, 1545091, 414192
42, 4569068, 1170991, 4570584, 2051, 2051, 25, 1582769, 423890
43, 4677994, 1200671, 4679409, 2051, 2051, 25, 1620470, 434642
44, 4786395, 1231553, 4788216, 2051, 2051, 25, 1658145, 445819
45, 4895353, 1260069, 4897041, 2051, 2051, 25, 1695829, 456144
46, 5004502, 1291194, 5005890, 2051, 2051, 25, 1733505, 467387
