index, total_training, useful_training, total_prediction, true_prediction, total_prefetch, useful_prefetch, cache_operate, cache_hit
0, 0, 0, 0, 0, 0, 0, 0, 0
1, 23023, 18927, 23116, 21497, 21497, 117, 10591, 8966
2, 28774, 23123, 28878, 25533, 25533, 168, 14624, 11011
3, 35524, 29521, 36370, 32754, 32754, 189, 23465, 17480
4, 37063, 30534, 37742, 33858, 33858, 200, 32276, 25282
5, 38384, 31510, 38991, 35107, 35107, 202, 39863, 32379
6, 39590, 32390, 40240, 36356, 36356, 206, 47024, 39222
7, 40990, 33479, 41539, 37655, 37655, 206, 54933, 46101
8, 42253, 34429, 42855, 38971, 38971, 206, 63782, 54227
9, 43585, 35434, 44197, 40313, 40313, 208, 72136, 61852
10, 44954, 36432, 45663, 41664, 41664, 214, 81305, 69218
11, 46315, 37160, 47655, 42645, 42645, 241, 90777, 77237
12, 48475, 37653, 50108, 42715, 42715, 243, 99776, 84372
13, 50933, 38153, 52569, 42747, 42747, 243, 108757, 91484
14, 53347, 38628, 54995, 42807, 42807, 244, 117617, 98472
15, 55858, 39132, 57483, 42855, 42855, 245, 126679, 105661
16, 58303, 39633, 59938, 42899, 42899, 245, 135660, 112770
17, 65941, 43482, 66472, 46241, 46241, 314, 147245, 121858
18, 74060, 49503, 74590, 53936, 53936, 355, 160796, 133918
19, 100489, 66527, 101154, 69858, 69858, 485, 182242, 152255
20, 176373, 128576, 176461, 139074, 139074, 739, 213059, 179127
21, 233773, 178159, 233960, 191834, 191834, 766, 241664, 206047
22, 243624, 185123, 245655, 199665, 199665, 804, 249862, 213414
23, 262188, 198106, 262406, 212720, 212720, 903, 259968, 223360
24, 303311, 224842, 303755, 241393, 241393, 1215, 292762, 247584
25, 368406, 282452, 368769, 305363, 305363, 1539, 342293, 279702
26, 375049, 285997, 376817, 310608, 310608, 1657, 354380, 285855
27, 375049, 285997, 376817, 310608, 310608, 1657, 354465, 285855
28, 399618, 304692, 400273, 330251, 330251, 1737, 366047, 294901
29, 410210, 313565, 410312, 339545, 339545, 1777, 371271, 299033
30, 412120, 315361, 413023, 341923, 341923, 1803, 380820, 305665
31, 413627, 316255, 414308, 342879, 342879, 1804, 388955, 313429
32, 415019, 317297, 415647, 344218, 344218, 1807, 396932, 320850
33, 416387, 318299, 417059, 345630, 345630, 1814, 404567, 328053
34, 417859, 319406, 418422, 346993, 346993, 1816, 412757, 335173
35, 419153, 320362, 419768, 348339, 348339, 1817, 422002, 343466
36, 420451, 321351, 421041, 349612, 349612, 1818, 430384, 351131
37, 421789, 322263, 422729, 350907, 350907, 1840, 439552, 358541
38, 423263, 322821, 424831, 351502, 351502, 1875, 448299, 365664
39, 425728, 323305, 427346, 351559, 351559, 1875, 457639, 372955
40, 428129, 323788, 429828, 351662, 351662, 1877, 466898, 380277
41, 430556, 324231, 432243, 351692, 351692, 1877, 475863, 387372
42, 432905, 324727, 434539, 351752, 351752, 1879, 485078, 394274
43, 435287, 325172, 436948, 351803, 351803, 1879, 494104, 401422
44, 444464, 330395, 444962, 357035, 357035, 1955, 507059, 411845
45, 452530, 336390, 453052, 365119, 365119, 1987, 520626, 424138
46, 482557, 355766, 482663, 383620, 383620, 2137, 540606, 440653
47, 601296, 459831, 601500, 496391, 496391, 2381, 590148, 486995
48, 610356, 463919, 610680, 501194, 501194, 2408, 599411, 494776
49, 623977, 472495, 624294, 509548, 509548, 2452, 608504, 503040
50, 638287, 483935, 638362, 522298, 522298, 2542, 616159, 510536
51, 681235, 511745, 681850, 552995, 552995, 2913, 656004, 538741
52, 743703, 566299, 744161, 613947, 6361, 7, 699856, 567120
53, 747910, 568678, 749514, 617629, 10043, 98, 708339, 571863
54, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
55, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
56, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
57, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
58, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
59, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
60, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
61, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
62, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
63, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
64, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
65, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
66, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
67, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
68, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
69, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
70, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
71, 749702, 569091, 751454, 617858, 10272, 105, 711170, 572312
72, 749702, 569091, 751454, 617858, 10272, 105, 711250, 572312
73, 749702, 569091, 751454, 617858, 10272, 105, 711250, 572312
74, 749702, 569091, 751454, 617858, 10272, 105, 711250, 572312
75, 749702, 569091, 751454, 617858, 10272, 105, 711250, 572312
76, 749702, 569091, 751454, 617858, 10272, 105, 711252, 572312
77, 749702, 569091, 751454, 617858, 10272, 105, 711252, 572312
78, 749702, 569091, 751454, 617858, 10272, 105, 711252, 572312
79, 749702, 569091, 751454, 617858, 10272, 105, 711252, 572312
80, 749702, 569091, 751454, 617858, 10272, 105, 711253, 572312
81, 749702, 569091, 751454, 617858, 10272, 105, 711253, 572312
82, 752846, 569838, 754151, 618027, 10441, 111, 712990, 572681
83, 774018, 587609, 774111, 637066, 29480, 180, 721762, 581283
84, 774051, 587609, 774489, 637158, 29572, 182, 722510, 581339
85, 775403, 588493, 776570, 638168, 30582, 194, 724163, 581762
86, 778462, 590410, 778609, 639591, 32005, 213, 725150, 582608
87, 783865, 595552, 783981, 644963, 37377, 219, 727622, 584952
88, 785827, 597393, 786508, 647189, 39603, 227, 729684, 586127
89, 786163, 597715, 786881, 647545, 39959, 234, 732406, 587791
90, 786638, 598157, 787484, 648148, 40562, 244, 736922, 591450
91, 787084, 598526, 788003, 648656, 41070, 247, 740649, 594821
92, 788006, 599003, 788640, 649012, 41426, 248, 744779, 598675
93, 788414, 599294, 788999, 649371, 41785, 249, 746978, 600757
94, 789013, 599734, 789601, 649973, 42387, 249, 751253, 604844
95, 789521, 600118, 790083, 650455, 42869, 250, 753960, 607504
96, 790123, 600579, 790689, 651061, 43475, 251, 757894, 610960
97, 790914, 601178, 791495, 651867, 44281, 252, 762280, 614737
98, 791411, 601543, 791985, 652357, 44771, 253, 765555, 617715
99, 791932, 601948, 792531, 652903, 45317, 254, 769587, 621360
100, 792449, 602334, 793061, 653433, 45847, 255, 773925, 625411
101, 793015, 602779, 793594, 653966, 46380, 255, 777907, 628976
102, 793642, 603236, 794218, 654590, 47004, 255, 782247, 632778
103, 794279, 603703, 794977, 655231, 47645, 255, 786867, 636090
104, 794668, 603976, 795445, 655699, 48113, 257, 791140, 639964
105, 795230, 604328, 796309, 656302, 48716, 277, 795493, 643822
106, 795761, 604599, 796812, 656581, 48995, 277, 799333, 646911
107, 796313, 604773, 797908, 656706, 49120, 290, 803184, 649831
108, 797121, 605014, 798732, 656882, 49296, 293, 806315, 652481
109, 798148, 605182, 799805, 656888, 49302, 293, 810106, 655340
110, 799017, 605333, 800752, 656928, 49342, 293, 813191, 657961
111, 799919, 605506, 801589, 656930, 49344, 293, 816741, 660582
112, 800797, 605731, 802404, 656987, 49401, 293, 820387, 663398
113, 801790, 605907, 803394, 656993, 49407, 293, 823465, 666007
114, 802556, 606074, 804207, 656999, 49413, 293, 826806, 668413
115, 803499, 606238, 805179, 656999, 49413, 293, 829936, 671074
116, 804540, 606401, 806276, 657008, 49422, 293, 833742, 673940
117, 805290, 606615, 806915, 657014, 49428, 293, 837352, 676647
118, 806430, 606885, 807950, 657085, 49499, 295, 841279, 679943
119, 807201, 607057, 808807, 657090, 49504, 295, 844617, 682341
120, 808164, 607224, 809775, 657096, 49510, 295, 847794, 685048
121, 808942, 607391, 810588, 657103, 49517, 295, 851098, 687416
122, 812659, 608773, 813534, 657529, 49943, 305, 855232, 690085
123, 816749, 611546, 817275, 660762, 53176, 340, 861126, 695311
124, 820412, 614351, 820932, 664028, 56442, 357, 867124, 700536
125, 824169, 617145, 824694, 667279, 59693, 367, 873019, 705844
126, 827836, 619950, 828367, 670528, 62942, 369, 878994, 711392
127, 839139, 626509, 839241, 675486, 67900, 415, 885293, 715921
128, 846049, 631921, 848061, 681782, 74196, 467, 893274, 723397
129, 852352, 635703, 852953, 684581, 76995, 495, 895761, 725124
130, 861433, 642040, 862337, 691030, 83444, 526, 899258, 727527
131, 908624, 682494, 908970, 737116, 129530, 682, 918048, 744349
132, 947345, 717735, 947426, 774770, 167184, 711, 937439, 763684
133, 967704, 736253, 968458, 795428, 187842, 718, 951194, 777033
134, 968706, 736385, 970633, 796021, 188435, 723, 953325, 778107
135, 972462, 738039, 973139, 796380, 188794, 729, 955571, 780275
136, 976903, 741335, 977309, 799582, 191996, 744, 958537, 783149
137, 977243, 741355, 977952, 799582, 191996, 744, 959889, 784464
138, 981372, 744556, 983359, 803765, 196179, 771, 962748, 786630
139, 987153, 747710, 987626, 805511, 197925, 781, 965759, 789640
140, 989783, 749295, 990252, 807097, 199511, 786, 968089, 791970
141, 998939, 756571, 999183, 815605, 208019, 880, 972813, 796535
142, 1000491, 757960, 1000620, 817042, 209456, 880, 973309, 797031
143, 1002565, 759879, 1003670, 820092, 212506, 942, 975311, 798686
144, 1034909, 779630, 1035526, 840654, 233068, 1116, 998819, 817526
145, 1035206, 779825, 1036449, 840771, 233185, 1121, 1000796, 817901
146, 1039650, 782863, 1040067, 843952, 236366, 1166, 1006770, 821528
147, 1042846, 785297, 1043529, 847196, 239610, 1209, 1013543, 825611
148, 1080296, 819396, 1080488, 883882, 276296, 1296, 1034345, 841251
149, 1090161, 827891, 1090527, 893877, 286291, 1351, 1046936, 845060
150, 1105594, 841043, 1106045, 909330, 301744, 1398, 1059096, 855195
151, 1110084, 843217, 1111936, 912727, 305141, 1487, 1067086, 858904
152, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
153, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
154, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
155, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
156, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
157, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
158, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
159, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
160, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
161, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
162, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
163, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
164, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
165, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
166, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
167, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
168, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
169, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068824, 859133
170, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068904, 859133
171, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068904, 859133
172, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068904, 859133
173, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068904, 859133
174, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068906, 859133
175, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068906, 859133
176, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068906, 859133
177, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068906, 859133
178, 1111101, 843387, 1112857, 912737, 305151, 1487, 1068907, 859133
179, 1111440, 843387, 1113217, 912737, 305151, 1487, 1069149, 859133
180, 1115094, 844462, 1116190, 913146, 305560, 1496, 1071615, 860395
181, 1135314, 861798, 1135407, 932063, 324477, 1562, 1079410, 868097
182, 1135353, 861798, 1135944, 932156, 324570, 1564, 1080393, 868169
183, 1137263, 862916, 1138193, 933134, 325548, 1575, 1081940, 868653
184, 1140062, 864811, 1140212, 934794, 327208, 1596, 1082930, 869520
185, 1145532, 870010, 1145633, 940215, 332629, 1599, 1085391, 871875
186, 1147209, 871595, 1147905, 942134, 334548, 1609, 1087527, 872957
187, 1147648, 872002, 1148445, 942674, 335088, 1621, 1091259, 875591
188, 1148072, 872402, 1148962, 943191, 335605, 1626, 1095194, 878771
189, 1148758, 872863, 1149558, 943671, 336085, 1629, 1099273, 882546
190, 1149454, 873232, 1150086, 943994, 336408, 1630, 1103155, 886239
191, 1149937, 873586, 1150530, 944438, 336852, 1631, 1105702, 888582
192, 1150685, 874144, 1151276, 945184, 337598, 1631, 1110262, 892948
193, 1151130, 874467, 1151747, 945655, 338069, 1631, 1113360, 895823
194, 1151595, 874814, 1152201, 946109, 338523, 1632, 1117125, 899207
195, 1152160, 875243, 1152801, 946709, 339123, 1633, 1120969, 902932
196, 1152809, 875716, 1153427, 947335, 339749, 1633, 1125463, 906880
197, 1153471, 876200, 1154077, 947971, 340385, 1635, 1129859, 910834
198, 1153841, 876488, 1154404, 948298, 340712, 1637, 1131826, 912581
199, 1154496, 876977, 1155099, 948993, 341407, 1637, 1136542, 916798
200, 1155109, 877380, 1155862, 949642, 342056, 1637, 1140966, 920191
201, 1155499, 877672, 1156324, 950104, 342518, 1638, 1145265, 924066
202, 1155945, 877977, 1156811, 950591, 343005, 1639, 1149403, 927668
203, 1156696, 878316, 1157732, 951058, 343472, 1649, 1154085, 931337
204, 1157199, 878657, 1158258, 951543, 343957, 1651, 1158274, 935187
205, 1157710, 878883, 1159043, 951816, 344230, 1665, 1162307, 938612
206, 1158608, 879133, 1160122, 951872, 344286, 1668, 1166468, 942153
207, 1159455, 879357, 1161030, 951895, 344309, 1668, 1170162, 944817
208, 1160252, 879627, 1161778, 952075, 344489, 1668, 1173875, 948335
209, 1161058, 879924, 1162400, 952211, 344625, 1668, 1177887, 951708
210, 1162064, 880092, 1163514, 952211, 344625, 1668, 1181757, 954630
211, 1162749, 880251, 1164483, 952230, 344644, 1668, 1184887, 957295
212, 1163653, 880415, 1165343, 952236, 344650, 1668, 1188276, 959749
213, 1164584, 880581, 1166303, 952249, 344663, 1668, 1191420, 962425
214, 1165463, 880739, 1167142, 952255, 344669, 1668, 1194658, 964729
215, 1166423, 880895, 1168126, 952261, 344675, 1668, 1197859, 967463
216, 1167573, 881087, 1169287, 952280, 344694, 1669, 1201651, 970319
217, 1168433, 881255, 1170114, 952287, 344701, 1669, 1204873, 972605
218, 1169405, 881429, 1171095, 952301, 344715, 1670, 1207982, 975246
219, 1170253, 881583, 1171915, 952316, 344730, 1670, 1211424, 977746
220, 1171200, 881748, 1172886, 952325, 344739, 1670, 1214637, 980489
221, 1176499, 884368, 1176993, 954188, 346602, 1710, 1219975, 984050
222, 1180006, 887063, 1180500, 957360, 349774, 1739, 1225884, 989171
223, 1183672, 889886, 1184160, 960640, 353054, 1756, 1231576, 994282
224, 1187401, 892700, 1187908, 963918, 356332, 1762, 1237397, 999662
225, 1191083, 895533, 1191575, 967223, 359637, 1768, 1243319, 1005267
226, 1203373, 903337, 1203488, 973418, 365832, 1817, 1248539, 1008625
227, 1212492, 908861, 1213066, 978374, 370788, 1881, 1256994, 1016222
228, 1217265, 912654, 1217371, 982679, 375093, 1893, 1258716, 1017685
229, 1225386, 917813, 1225693, 987493, 379907, 1920, 1261940, 1019826
230, 1270515, 956940, 1271571, 1032882, 425296, 2095, 1282307, 1038250
231, 1329253, 1010625, 1329557, 1089891, 482305, 2112, 1310262, 1066090
232, 1330263, 1010950, 1332091, 1091168, 483582, 2121, 1313712, 1068212
233, 1334141, 1012606, 1334570, 1091528, 483942, 2126, 1315932, 1070347
234, 1336543, 1014258, 1336985, 1093127, 485541, 2137, 1318106, 1072455
235, 1338912, 1015910, 1339403, 1094739, 487153, 2140, 1320302, 1074607
236, 1342995, 1019062, 1344728, 1098864, 491278, 2169, 1323139, 1076734
237, 1346783, 1020636, 1347341, 1099029, 491443, 2170, 1325475, 1079070
238, 1351151, 1023800, 1351621, 1102196, 494610, 2184, 1328480, 1082074
239, 1355810, 1026744, 1355927, 1105803, 498217, 2236, 1331744, 1085244
240, 1361657, 1032051, 1361826, 1111702, 504116, 2277, 1334015, 1087450
241, 1363212, 1033461, 1363287, 1113163, 505577, 2277, 1334532, 1087967
242, 1394777, 1052693, 1395137, 1133986, 526400, 2496, 1357779, 1107565
243, 1396748, 1054229, 1397950, 1135820, 528234, 2520, 1361689, 1108532
244, 1398792, 1055450, 1399514, 1136810, 529224, 2551, 1364818, 1110416
245, 1403015, 1058579, 1403557, 1140696, 533110, 2595, 1371306, 1114784
246, 1424069, 1076793, 1424195, 1160905, 553319, 2703, 1386485, 1124242
247, 1452050, 1102372, 1452351, 1188945, 581359, 2768, 1405987, 1135867
248, 1467084, 1115106, 1467545, 1204044, 596458, 2812, 1418495, 1144794
249, 1471214, 1117458, 1472899, 1207732, 600146, 2903, 1426861, 1149476
250, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
251, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
252, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
253, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
254, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
255, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
256, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
257, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
258, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
259, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
260, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
261, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
262, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
263, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
264, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
265, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
266, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
267, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429333, 1149869
268, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429413, 1149869
269, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429413, 1149869
270, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429413, 1149869
271, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429413, 1149869
272, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429415, 1149869
273, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429415, 1149869
274, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429415, 1149869
275, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429415, 1149869
276, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429416, 1149869
277, 1472777, 1117766, 1474505, 1207895, 600309, 2908, 1429416, 1149869
278, 1475909, 1118519, 1477208, 1208237, 600651, 2916, 1431155, 1150241
279, 1496888, 1136082, 1496981, 1227211, 619625, 2984, 1439911, 1158827
280, 1496930, 1136085, 1497419, 1227313, 619727, 2991, 1440731, 1158895
281, 1498126, 1136919, 1499343, 1228689, 621103, 3006, 1442268, 1159291
282, 1501276, 1138875, 1501419, 1230336, 622750, 3023, 1443273, 1160169
283, 1506744, 1144064, 1506858, 1235775, 628189, 3027, 1445732, 1162514
284, 1508483, 1145696, 1509184, 1237747, 630161, 3036, 1447881, 1163620
285, 1508921, 1146101, 1509644, 1238207, 630621, 3045, 1450838, 1165650
286, 1509344, 1146509, 1510174, 1238737, 631151, 3048, 1454152, 1168751
287, 1509919, 1146943, 1510714, 1239267, 631681, 3052, 1457784, 1171648
288, 1510699, 1147377, 1511303, 1239682, 632096, 3054, 1461806, 1175316
289, 1511333, 1147844, 1511940, 1240319, 632733, 3055, 1465990, 1179397
290, 1511710, 1148141, 1512332, 1240711, 633125, 3056, 1468591, 1181864
291, 1512319, 1148594, 1512908, 1241287, 633701, 3059, 1472804, 1185621
292, 1512903, 1149044, 1513496, 1241875, 634289, 3059, 1476882, 1189425
293, 1513520, 1149478, 1514110, 1242489, 634903, 3060, 1481288, 1193209
294, 1514099, 1149922, 1514722, 1243101, 635515, 3060, 1485485, 1196670
295, 1514537, 1150262, 1515160, 1243539, 635953, 3061, 1488610, 1199478
296, 1515051, 1150640, 1515699, 1244078, 636492, 3061, 1492876, 1203359
297, 1515805, 1151179, 1516430, 1244809, 637223, 3062, 1497487, 1207684
298, 1516450, 1151658, 1517072, 1245451, 637865, 3062, 1501550, 1211261
299, 1517150, 1152142, 1517867, 1246119, 638533, 3063, 1506627, 1214869
300, 1517619, 1152471, 1518384, 1246636, 639050, 3063, 1510912, 1218740
301, 1518002, 1152739, 1518840, 1247090, 639504, 3066, 1514580, 1222168
302, 1518669, 1153087, 1519754, 1247585, 639999, 3082, 1518828, 1225596
303, 1519243, 1153264, 1520775, 1247617, 640031, 3084, 1522027, 1228324
304, 1520006, 1153535, 1521582, 1247831, 640245, 3091, 1525585, 1231262
305, 1521055, 1153692, 1522715, 1247831, 640245, 3091, 1529350, 1234090
306, 1521947, 1153961, 1523529, 1247842, 640256, 3091, 1532735, 1236859
307, 1522833, 1154161, 1524429, 1247863, 640277, 3091, 1536394, 1239564
308, 1523807, 1154342, 1525425, 1247904, 640318, 3091, 1539507, 1242182
309, 1524862, 1154518, 1526575, 1247922, 640336, 3091, 1543225, 1244990
310, 1525757, 1154707, 1527425, 1247935, 640349, 3092, 1546543, 1247371
311, 1526711, 1154875, 1528393, 1247944, 640358, 3092, 1549587, 1249947
312, 1527779, 1155036, 1529517, 1247961, 640375, 3092, 1553415, 1252839
313, 1528699, 1155218, 1530376, 1247969, 640383, 3092, 1556650, 1255138
314, 1529641, 1155380, 1531346, 1247976, 640390, 3092, 1559724, 1257744
315, 1530720, 1155544, 1532463, 1247984, 640398, 3092, 1563484, 1260567
316, 1531666, 1155718, 1533365, 1247987, 640401, 3092, 1566856, 1263003
317, 1534960, 1156856, 1536025, 1248292, 640706, 3103, 1570305, 1265221
318, 1539199, 1159899, 1539700, 1251597, 644011, 3139, 1576314, 1270285
319, 1542981, 1162755, 1543486, 1254863, 647277, 3148, 1582224, 1275552
320, 1546449, 1165380, 1546940, 1257870, 650284, 3156, 1587826, 1280622
321, 1550148, 1168220, 1550655, 1261134, 653548, 3157, 1593795, 1286147
322, 1560190, 1173464, 1560289, 1264826, 657240, 3185, 1600147, 1290771
323, 1568189, 1180670, 1569606, 1273021, 665435, 3258, 1606392, 1296438
324, 1573729, 1183199, 1574476, 1274410, 666824, 3276, 1610889, 1300284
325, 1583709, 1190322, 1584169, 1281282, 673696, 3297, 1614475, 1302964
326, 1631646, 1231430, 1631809, 1327783, 720197, 3446, 1633089, 1319483
327, 1651383, 1249250, 1652170, 1347633, 740047, 3493, 1645731, 1332012
